Company,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001
johnson-and-johnson,,$187.37 B,$182.01 B,$174.89 B,$157.72 B,$152.95 B,$157.30 B,$141.20 B,$133.41 B,$131.11 B,$132.68 B,$121.34 B,$113.64 B,$102.90 B,$94.68 B,$84.91 B,$80.95 B,$70.55 B,$58.02 B,$53.31 B,$48.26 B,$40.55 B,$38.48 B
tencent,,$228.81 B,$253.03 B,$204.44 B,$136.56 B,$105.20 B,$85.25 B,$57.01 B,$47.33 B,$27.64 B,$17.71 B,$12.07 B,$9.03 B,$5.41 B,$2.56 B,$1.44 B,$0.95 B,$0.59 B,$0.42 B,$0.34 B,$69.64 M,,
samsung,,$355.63 B,$358.53 B,$348.14 B,$304.89 B,$304.00 B,$283.05 B,$217.49 B,$206.03 B,$210.37 B,$203.04 B,$174.42 B,$134.23 B,$119.14 B,$97.45 B,$84.76 B,$100.79 B,$88.70 B,$74.35 B,,,,
procter-and-gamble,$120.82 B,$117.20 B,$119.30 B,$120.70 B,$115.09 B,$118.31 B,$120.40 B,$127.13 B,$129.49 B,$144.26 B,$139.26 B,$132.24 B,$138.35 B,$128.17 B,$134.83 B,$143.99 B,$138.01 B,$135.69 B,$61.52 B,$57.04 B,$43.70 B,$40.77 B,$34.38 B
home-depot,$76.44 B,$71.87 B,$70.58 B,$51.23 B,$44.00 B,$44.52 B,$42.96 B,$42.54 B,$39.94 B,$40.51 B,$41.08 B,$40.51 B,$40.12 B,$40.87 B,$41.16 B,$44.32 B,$52.26 B,$44.48 B,$38.90 B,$34.43 B,$30.01 B,$26.39 B,$21.38 B
oracle,$134.38 B,$109.29 B,$131.10 B,$115.43 B,$108.70 B,$137.26 B,$134.99 B,$112.18 B,$110.90 B,$90.34 B,$81.81 B,$78.32 B,$73.53 B,$61.57 B,$47.41 B,$47.26 B,$34.57 B,$29.02 B,$20.68 B,$12.76 B,$11.06 B,$10.80 B,$11.03 B
nestle,,$146.33 B,$152.28 B,$140.68 B,$132.08 B,$139.29 B,$133.89 B,$129.48 B,$125.49 B,$134.99 B,$135.75 B,$138.31 B,$121.61 B,$119.46 B,$107.24 B,$101.84 B,$101.28 B,$83.67 B,$78.58 B,$76.36 B,$72.42 B,$99.28 B,$106.59 B
kweichow-moutai,,$36.88 B,$40.04 B,$32.71 B,$26.20 B,$23.24 B,$20.69 B,$16.26 B,$13.31 B,$10.63 B,$9.16 B,$7.21 B,$5.55 B,$3.86 B,$2.89 B,$2.31 B,$1.43 B,$1.20 B,$0.99 B,$0.77 B,$0.59 B,$0.47 B,$0.41 B
asml,,$41.58 B,$34.23 B,$33.53 B,$26.92 B,$24.79 B,$21.84 B,$18.11 B,$14.53 B,$15.89 B,$16.85 B,$9.80 B,$9.79 B,$8.22 B,$5.34 B,$5.52 B,$5.94 B,$5.22 B,$4.43 B,$4.39 B,$3.60 B,$3.55 B,$3.93 B
adobe,,$27.16 B,$27.24 B,$24.28 B,$20.76 B,$18.76 B,$14.53 B,$12.70 B,$11.72 B,$10.78 B,$10.38 B,$9.97 B,$8.99 B,$8.14 B,$7.25 B,$5.82 B,$5.71 B,$5.96 B,$2.44 B,$1.95 B,$1.55 B,$1.05 B,$0.93 B
chevron,,$257.70 B,$239.53 B,$239.79 B,$237.42 B,$253.86 B,$253.80 B,$260.07 B,$266.10 B,$266.02 B,$253.75 B,$232.98 B,$209.47 B,$184.76 B,$164.62 B,$161.16 B,$148.78 B,$132.62 B,$125.83 B,$93.20 B,$81.47 B,$77.35 B,$77.57 B
costco,$68.99 B,$64.16 B,$59.26 B,$55.55 B,$45.40 B,$40.83 B,$36.34 B,$33.16 B,$33.44 B,$33.02 B,$30.28 B,$27.14 B,$26.76 B,$23.81 B,$21.97 B,$20.68 B,$19.60 B,$17.49 B,$16.51 B,$15.09 B,$13.19 B,$11.62 B,$10.08 B
abbvie,,$138.80 B,$146.52 B,$150.56 B,$89.11 B,$59.35 B,$70.78 B,$66.09 B,$53.05 B,$27.54 B,$29.19 B,$27.00 B,$19.65 B,$21.13 B,,,,,,,,,
merck,,$109.16 B,$105.69 B,$91.58 B,$84.39 B,$82.63 B,$87.87 B,$95.37 B,$101.77 B,$98.33 B,$105.64 B,$106.13 B,$105.12 B,$105.78 B,$112.08 B,$47.19 B,$48.35 B,$44.56 B,$44.84 B,$42.57 B,$40.58 B,$47.56 B,$44.00 B
l-oreal,,$50.16 B,$48.71 B,$53.63 B,$49.07 B,$43.99 B,$42.42 B,$37.50 B,$36.85 B,$38.99 B,$43.22 B,$39.05 B,$34.80 B,$31.98 B,$33.36 B,$32.09 B,$33.87 B,$32.76 B,$28.22 B,$24.65 B,$18.90 B,$16.12 B,$16.01 B
coca-cola,,$92.76 B,$94.35 B,$87.29 B,$86.38 B,$83.21 B,$87.89 B,$87.27 B,$89.99 B,$92.02 B,$90.05 B,$86.17 B,$79.97 B,$72.92 B,$48.67 B,$40.51 B,$43.26 B,$29.96 B,$29.42 B,$31.32 B,$27.34 B,$24.50 B,$22.41 B
toyota,$557.82 B,$554.73 B,$564.49 B,$487.62 B,$467.92 B,$473.21 B,$436.14 B,$422.08 B,$397.70 B,$402.73 B,$376.35 B,$369.86 B,$358.60 B,$324.52 B,$293.64 B,$323.51 B,$276.08 B,$244.46 B,$226.80 B,$208.62 B,$167.60 B,$144.44 B,$136.79 B
bank-of-america,,$3.050 T,$3.169 T,$2.819 T,$2.434 T,$2.354 T,$2.281 T,$2.187 T,$2.144 T,$2.104 T,$2.102 T,$2.209 T,$2.129 T,$2.264 T,$2.223 T,$1.817 T,$1.715 T,$1.459 T,$1.291 T,$1.110 T,$736.44 B,$660.45 B,$621.76 B
