Company,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001
constellation-software,,$7.88 B,$5.76 B,$4.37 B,$3.48 B,$2.93 B,$2.28 B,$1.88 B,$1.63 B,$1.43 B,$1.53 B,$0.81 B,$0.63 B,$0.55 B,$0.48 B,$0.38 B,$0.26 B,$0.18 B,$0.15 B,$0.12 B,,,
crown-castle,,$38.92 B,$39.04 B,$38.76 B,$38.48 B,$32.78 B,$32.22 B,$22.67 B,$22.03 B,$21.14 B,$20.59 B,$16.05 B,$10.54 B,$10.46 B,$10.95 B,$10.36 B,$10.48 B,$5.00 B,$4.13 B,$4.57 B,$6.73 B,$6.89 B,$7.37 B
tokio-marine,$207.95 B,$223.28 B,$233.58 B,$233.75 B,$202.99 B,$215.68 B,$202.25 B,$194.50 B,$174.06 B,$184.15 B,$191.22 B,$197.15 B,$198.78 B,$184.62 B,$154.05 B,$173.09 B,$146.28 B,$131.76 B,$120.35 B,$117.07 B,$92.30 B,$63.43 B,$64.88 B
emerson,$42.74 B,$35.67 B,$24.71 B,$22.88 B,$20.49 B,$20.39 B,$19.58 B,$21.74 B,$22.08 B,$24.17 B,$24.71 B,$23.81 B,$23.86 B,$22.84 B,$19.76 B,$21.04 B,$19.68 B,$18.67 B,$17.22 B,$16.36 B,$15.19 B,$14.54 B,$15.04 B
saudi-telecom-company,,$36.51 B,$34.07 B,$32.54 B,$31.56 B,$29.84 B,$28.83 B,$27.08 B,$25.75 B,$24.21 B,$23.31 B,$31.46 B,$29.71 B,$29.54 B,$29.21 B,$26.58 B,$18.54 B,$12.29 B,,,,,
westpac-banking,$662.88 B,$660.54 B,$671.95 B,$651.45 B,$612.95 B,$635.41 B,$668.34 B,$640.17 B,$568.81 B,$671.93 B,$647.94 B,$698.95 B,$654.45 B,$599.33 B,$521.06 B,$348.37 B,$335.23 B,$224.16 B,$170.67 B,$160.73 B,$145.23 B,$125.34 B,$124.57 B
republic-services,,$29.05 B,$24.95 B,$23.43 B,$22.68 B,$21.61 B,$21.14 B,$20.62 B,$20.57 B,$20.09 B,$19.94 B,$19.61 B,$19.55 B,$19.46 B,$19.54 B,$19.92 B,$4.46 B,$4.42 B,$4.55 B,$4.46 B,$4.55 B,$4.20 B,$3.85 B
norfolk-southern,,$38.88 B,$38.49 B,$37.96 B,$37.92 B,$36.23 B,$35.71 B,$34.89 B,$34.26 B,$33.24 B,$32.48 B,$30.34 B,$28.53 B,$28.19 B,$27.36 B,$26.29 B,$26.14 B,$26.02 B,$25.86 B,$24.75 B,$20.59 B,$19.95 B,$19.41 B
novatek,,,$32.97 B,$27.63 B,$32.48 B,$17.49 B,$18.12 B,$15.74 B,$12.01 B,$12.36 B,$18.29 B,$15.21 B,$11.98 B,$9.33 B,$6.45 B,$4.58 B,$4.23 B,$3.20 B,$2.72 B,,,,
mindray,,$6.77 B,$5.97 B,$5.10 B,$3.66 B,$3.14 B,$2.21 B,$1.86 B,$1.90 B,$2.35 B,,,,,,,,,,,,,
paccar,,$33.27 B,$29.30 B,$28.28 B,$28.36 B,$25.48 B,$23.44 B,$20.63 B,$21.10 B,$20.61 B,$20.72 B,$18.62 B,$17.17 B,$14.23 B,$14.56 B,$16.24 B,$17.22 B,$16.10 B,$13.71 B,$12.22 B,$9.93 B,$8.70 B,$7.91 B
occidental-petroleum,,$72.60 B,$75.03 B,$80.06 B,$109.33 B,$43.85 B,$42.02 B,$43.10 B,$43.70 B,$56.25 B,$69.44 B,$64.21 B,$60.04 B,$52.43 B,$44.22 B,$41.53 B,$36.51 B,$32.35 B,$26.10 B,$21.39 B,$18.16 B,$16.54 B,$17.85 B
national-grid,$114.82 B,$124.63 B,$92.39 B,$83.00 B,$81.99 B,$82.52 B,$82.15 B,$84.71 B,$81.58 B,$87.18 B,$83.12 B,$75.80 B,$74.58 B,$66.12 B,$63.78 B,$74.94 B,$56.15 B,$45.04 B,$52.07 B,$43.12 B,$31.27 B,$21.83 B,$12.51 B
ing,,$1.036 T,$1.077 T,$1.152 T,$998.95 B,$1.014 T,$1.015 T,$889.61 B,$920.38 B,$1.207 T,$1.486 T,$1.537 T,$1.650 T,$1.653 T,$1.661 T,$1.861 T,$1.916 T,$1.621 T,$1.368 T,$1.174 T,$978.76 B,$771.98 B,$760.49 B
midea,,$61.26 B,$60.88 B,$55.25 B,$43.22 B,$38.34 B,$38.13 B,$24.56 B,$19.87 B,$19.42 B,$16.01 B,$14.07 B,$14.37 B,$10.73 B,$7.62 B,$5.26 B,$3.75 B,$2.48 B,$1.99 B,$1.52 B,$1.13 B,,
honda,$185.20 B,$196.46 B,$198.73 B,$189.39 B,$183.96 B,$182.00 B,$169.60 B,$162.23 B,$150.61 B,$151.83 B,$144.62 B,$142.15 B,$139.15 B,$124.34 B,$119.41 B,$125.97 B,$102.21 B,$89.76 B,$87.00 B,$79.84 B,$65.00 B,$51.93 B,$45.55 B
simon-property,,$33.01 B,$33.77 B,$34.78 B,$31.23 B,$30.68 B,$32.25 B,$31.10 B,$30.65 B,$29.53 B,$33.32 B,$32.58 B,$26.21 B,$24.85 B,$25.94 B,$23.59 B,$23.60 B,$22.08 B,$21.13 B,$22.07 B,$15.68 B,$14.90 B,$13.81 B
universal-music-group,,$12.46 B,$13.69 B,$13.51 B,$9.89 B,$9.66 B,$9.60 B,,,,,,,,,,,,,,,,
dell,$89.61 B,$92.65 B,$123.41 B,$118.86 B,$111.82 B,$122.28 B,$118.20 B,$45.12 B,,,,,,,,,,,,,,,
reckitt-benckiser,,$34.83 B,$36.37 B,$42.65 B,$42.14 B,$47.79 B,$50.02 B,$22.25 B,$22.62 B,$24.12 B,$24.98 B,$24.37 B,$21.91 B,$20.71 B,$14.01 B,$13.45 B,$11.65 B,$11.26 B,$7.24 B,$7.39 B,$6.83 B,$4.40 B,
volvo,,$60.49 B,$57.02 B,$62.38 B,$56.16 B,$52.85 B,$50.42 B,$43.92 B,$44.49 B,$49.39 B,$53.78 B,$52.10 B,$51.37 B,$47.12 B,$46.94 B,$47.56 B,$49.80 B,$37.66 B,$32.28 B,$33.78 B,$32.08 B,$27.58 B,$25.42 B
anz-bank,$711.70 B,$707.13 B,$702.81 B,$744.56 B,$663.33 B,$680.94 B,$704.00 B,$697.89 B,$623.26 B,$673.02 B,$653.88 B,$664.94 B,$580.49 B,$515.45 B,$421.55 B,$373.32 B,$351.14 B,$251.25 B,$192.34 B,$170.14 B,$128.31 B,$120.12 B,$121.69 B
atlassian,$4.10 B,$3.36 B,$2.94 B,$3.89 B,$2.97 B,$2.42 B,$1.28 B,$0.99 B,$0.39 B,$0.26 B,,,,,,,,,,,,,
estee-lauder,$23.41 B,$20.91 B,$21.97 B,$17.78 B,$13.15 B,$12.56 B,$11.56 B,$9.22 B,$8.23 B,$7.86 B,$7.14 B,$6.59 B,$6.27 B,$5.33 B,$5.17 B,$5.01 B,$4.12 B,$3.78 B,$3.88 B,$3.70 B,$3.34 B,$3.41 B,$3.21 B
public-storage,,$17.55 B,$17.38 B,$11.81 B,$11.36 B,$10.92 B,$10.73 B,$10.13 B,$9.77 B,$9.81 B,$9.87 B,$8.79 B,$8.93 B,$9.49 B,$9.80 B,$9.93 B,$10.64 B,$11.19 B,$5.55 B,$5.20 B,$4.96 B,$4.84 B,$4.62 B
welltower,,$37.89 B,$34.91 B,$32.48 B,$33.38 B,$30.34 B,$27.94 B,$28.86 B,$29.02 B,$25.01 B,$23.08 B,$19.54 B,$14.92 B,$9.45 B,$6.36 B,$6.19 B,$5.21 B,$4.28 B,$2.97 B,$2.54 B,$2.18 B,$1.59 B,$1.26 B
aflac,,$131.73 B,$157.54 B,$165.08 B,$152.76 B,$140.40 B,$137.21 B,$129.81 B,$118.29 B,$119.76 B,$121.30 B,$131.09 B,$117.10 B,$101.03 B,$84.10 B,$79.33 B,$65.80 B,$59.80 B,$56.36 B,$59.32 B,$50.96 B,$45.05 B,$37.86 B
autodesk,$9.43 B,$8.60 B,$7.27 B,$6.17 B,$4.72 B,$4.11 B,$4.79 B,$5.51 B,$4.91 B,$4.59 B,$4.30 B,$3.22 B,$2.78 B,$2.44 B,$2.42 B,$2.20 B,$1.79 B,$1.36 B,$1.14 B,$1.01 B,$0.88 B,$0.90 B,$0.80 B
mediatek,,$19.85 B,$23.89 B,$19.02 B,$15.25 B,$13.18 B,$13.31 B,$11.42 B,$10.98 B,$11.44 B,$8.62 B,$7.24 B,$5.01 B,$4.75 B,$4.33 B,$3.01 B,$3.04 B,$2.35 B,,,,,
unicredit,,$918.65 B,$1.038 T,$1.145 T,$958.52 B,$951.19 B,$1.004 T,$904.82 B,$940.79 B,$1.026 T,$1.168 T,$1.225 T,$1.201 T,$1.236 T,$1.330 T,$1.461 T,$1.491 T,$1.088 T,$929.99 B,$360.63 B,$299.96 B,,
xiaomi,,$39.65 B,$45.96 B,$38.89 B,$26.28 B,$21.11 B,$13.81 B,$7.31 B,$6.03 B,,,,,,,,,,,,,,
carrier,,$26.08 B,$26.17 B,$25.09 B,$22.40 B,$21.73 B,,,,,,,,,,,,,,,,,
metlife,,$666.61 B,$759.70 B,$795.14 B,$740.46 B,$687.53 B,$719.89 B,$898.76 B,$877.93 B,$902.33 B,$885.29 B,$836.78 B,$799.62 B,$730.70 B,$539.31 B,$501.67 B,$558.56 B,$527.71 B,$481.64 B,$356.80 B,$326.84 B,$277.38 B,$256.89 B
banco-santander-brasil,,$186.44 B,$167.17 B,$180.35 B,$189.81 B,$186.84 B,$195.22 B,$195.00 B,$153.00 B,$196.01 B,$192.02 B,$205.89 B,$214.72 B,$225.42 B,$181.28 B,$146.57 B,$65.65 B,$47.84 B,,,,,
microchip-technology,$16.37 B,$16.19 B,$16.47 B,$17.42 B,$18.34 B,$8.25 B,$7.67 B,$5.56 B,$4.78 B,$4.06 B,$3.92 B,$3.08 B,$2.98 B,$2.51 B,$2.42 B,$2.51 B,$2.26 B,$2.35 B,$1.81 B,$1.62 B,$1.42 B,$1.27 B,$1.16 B
general-motors,,$264.03 B,$244.71 B,$235.19 B,$228.03 B,$227.33 B,$212.48 B,$221.69 B,$194.52 B,$177.67 B,$166.34 B,$149.42 B,$144.60 B,$138.89 B,$136.29 B,$91.03 B,,,,,,,
japan-tobacco,,$50.04 B,$50.18 B,$52.18 B,$51.00 B,$49.50 B,$46.34 B,$40.62 B,$37.84 B,$44.81 B,$40.86 B,$44.25 B,$42.95 B,$41.40 B,$39.20 B,$50.94 B,$28.57 B,$25.79 B,$27.83 B,$29.06 B,$25.06 B,$22.97 B,
aig,,$526.63 B,$596.11 B,$586.48 B,$525.06 B,$491.98 B,$498.30 B,$498.26 B,$496.94 B,$515.58 B,$541.32 B,$548.63 B,$555.77 B,$683.44 B,$847.58 B,$860.41 B,$1.060 T,$979.41 B,$853.37 B,$798.66 B,$678.34 B,$561.22 B,$492.98 B
sempra-energy,,$78.57 B,$72.04 B,$66.62 B,$65.66 B,$60.63 B,$50.45 B,$47.78 B,$41.15 B,$39.73 B,$37.24 B,$36.49 B,$33.35 B,$30.28 B,$28.51 B,$26.40 B,$30.09 B,$28.94 B,$29.21 B,$23.64 B,$22.00 B,$17.75 B,$15.15 B
fomento-economico-mexicano,,$41.06 B,$36.04 B,$34.41 B,$33.70 B,$31.97 B,$29.94 B,$26.30 B,$23.70 B,$25.53 B,$27.57 B,$23.05 B,$19.75 B,$18.13 B,$16.13 B,$13.45 B,$15.22 B,$13.45 B,$11.84 B,$10.86 B,$9.32 B,$3.45 B,$2.76 B
dr-horton,$32.58 B,$30.35 B,$24.01 B,$18.91 B,$15.60 B,$14.11 B,$12.18 B,$11.55 B,$11.15 B,$10.20 B,$8.85 B,$7.24 B,$5.35 B,$5.93 B,$6.75 B,$7.70 B,$11.55 B,$14.82 B,$12.51 B,$8.98 B,$7.27 B,$6.01 B,$3.65 B
truist-financial,,$555.25 B,$541.24 B,$509.22 B,$473.07 B,$225.69 B,$221.64 B,$219.27 B,$209.94 B,$186.81 B,$182.34 B,$183.87 B,$174.57 B,$157.08 B,$165.76 B,$152.01 B,$132.61 B,$121.35 B,$109.16 B,$100.50 B,$90.46 B,$80.21 B,$70.86 B
crh,,$45.18 B,$44.67 B,$44.94 B,$46.81 B,$46.02 B,$45.55 B,$34.97 B,$38.26 B,$32.56 B,$38.95 B,$37.03 B,$35.92 B,$37.96 B,$41.63 B,$41.10 B,$42.19 B,$32.00 B,$22.45 B,$21.80 B,$17.51 B,$11.93 B,$10.34 B
autozone,$15.98 B,$15.27 B,$14.51 B,$14.42 B,$9.89 B,$9.34 B,$9.25 B,$8.59 B,$8.10 B,$7.51 B,$6.89 B,$6.26 B,$5.86 B,$5.57 B,$5.31 B,$5.25 B,$4.80 B,$4.52 B,$4.24 B,$3.91 B,$3.68 B,$3.47 B,$3.43 B
copart,$6.73 B,$5.30 B,$4.56 B,$3.45 B,$2.54 B,$2.30 B,$1.98 B,$1.64 B,$1.79 B,$1.50 B,$1.33 B,$1.15 B,$1.08 B,$1.22 B,$1.05 B,$0.95 B,$1.00 B,$0.89 B,$0.79 B,$0.67 B,$0.58 B,$0.53 B,$0.31 B
newmont,,$38.48 B,$40.56 B,$41.36 B,$39.97 B,$20.71 B,$20.64 B,$21.03 B,$25.18 B,$24.91 B,$24.76 B,$29.65 B,$27.47 B,$25.66 B,$22.29 B,$15.83 B,$15.59 B,$15.60 B,$13.99 B,$12.77 B,$11.05 B,$10.15 B,$4.06 B
ambev,,$26.10 B,$24.88 B,$24.11 B,$25.33 B,$24.29 B,$26.25 B,$25.77 B,$22.79 B,$27.18 B,$29.10 B,$26.48 B,$24.77 B,$25.67 B,$23.00 B,$17.99 B,$20.07 B,$16.67 B,$15.53 B,$6.70 B,$5.11 B,$2.51 B,$2.23 B
sika,,$12.25 B,$11.71 B,$11.10 B,$10.26 B,$6.48 B,$5.94 B,$5.00 B,$4.98 B,$4.87 B,$5.33 B,$4.67 B,$4.08 B,$4.20 B,$3.50 B,$3.07 B,$2.92 B,$2.51 B,$1.97 B,$1.48 B,$1.39 B,$1.97 B,
marvell,$22.52 B,$22.10 B,$10.76 B,$11.13 B,$10.01 B,$4.70 B,$4.64 B,$5.44 B,$5.88 B,$5.45 B,$5.26 B,$5.76 B,$6.33 B,$5.17 B,$4.41 B,$4.55 B,$4.52 B,$3.51 B,$2.78 B,$2.43 B,$2.10 B,$2.09 B,$2.44 B
paychex,$10.54 B,$9.63 B,$9.22 B,$8.55 B,$8.68 B,$7.46 B,$6.83 B,$6.44 B,$6.48 B,$6.37 B,$6.16 B,$6.47 B,$5.39 B,$5.22 B,$5.12 B,$5.30 B,$6.24 B,$5.54 B,$4.37 B,$3.95 B,$3.69 B,$2.95 B,$2.90 B
keurig-dr-pepper,,$51.83 B,$50.59 B,$49.77 B,$49.51 B,$48.91 B,$10.02 B,$9.79 B,$8.86 B,$8.27 B,$8.20 B,$8.92 B,$9.28 B,$8.85 B,$8.77 B,$8.63 B,$10.52 B,$9.34 B,$7.43 B,$7.62 B,,,
foxconn,,$134.88 B,$141.32 B,$130.89 B,$110.42 B,$110.67 B,$114.91 B,$79.90 B,$72.16 B,$80.29 B,$77.08 B,$70.44 B,$58.73 B,$47.53 B,$31.98 B,$26.74 B,$26.74 B,$19.23 B,$14.43 B,$9.63 B,$7.05 B,,
energy-transfer-partners,,$105.64 B,$105.96 B,$95.14 B,$98.88 B,$88.24 B,$86.24 B,$79.01 B,$71.18 B,$64.46 B,$50.33 B,$48.90 B,$20.89 B,$17.37 B,$12.16 B,$11.06 B,$8.18 B,$5.92 B,$4.91 B,$2.86 B,,,
kraft-heinz,,$90.51 B,$93.39 B,$99.83 B,$101.45 B,$103.62 B,$120.23 B,$120.48 B,$122.97 B,$22.94 B,$23.14 B,$23.32 B,$21.53 B,,,,,,,,,,
compass-group,,$20.94 B,$19.96 B,$18.95 B,$16.36 B,$16.44 B,$14.70 B,$13.66 B,$13.25 B,$14.12 B,$14.75 B,$14.88 B,$14.67 B,$13.03 B,$12.22 B,$12.33 B,$13.14 B,$13.74 B,$15.17 B,$15.33 B,$14.80 B,$11.51 B,$10.94 B
denso,$55.62 B,$60.90 B,$61.35 B,$52.31 B,$52.18 B,$54.22 B,$46.08 B,$44.87 B,$44.02 B,$43.17 B,$42.20 B,$43.53 B,$40.65 B,$35.97 B,$30.49 B,$36.48 B,$31.97 B,$28.97 B,$25.95 B,$24.24 B,$19.95 B,$17.71 B,$18.50 B
hcl-technologies,$11.37 B,$11.74 B,$0.15 B,$10.99 B,$0.12 B,$0.11 B,$0.10 B,,$86.77 M,$83.14 M,$63.21 M,$59.35 M,$69.28 M,$58.47 M,$51.38 M,$36.97 M,$32.29 M,$19.46 M,$24.45 M,$17.97 M,,,
capital-one,,$455.24 B,$432.38 B,$421.60 B,$390.36 B,$372.53 B,$365.69 B,$357.03 B,$334.04 B,$308.85 B,$297.04 B,$312.91 B,$206.01 B,$197.50 B,$169.40 B,$165.91 B,$150.59 B,$149.73 B,$88.70 B,$53.74 B,$46.28 B,$37.38 B,$28.18 B
ross-stores,$13.41 B,$13.64 B,$12.71 B,$9.34 B,$6.07 B,$5.72 B,$5.30 B,$4.86 B,$4.70 B,$3.89 B,$3.67 B,$3.30 B,$3.11 B,$2.76 B,$2.35 B,$2.37 B,$2.35 B,$1.93 B,$1.73 B,$1.65 B,$1.36 B,$1.08 B,$0.97 B
pacific-gas-and-electric,,$118.64 B,$103.17 B,$97.85 B,$85.19 B,$76.99 B,$68.01 B,$68.59 B,$63.33 B,$60.12 B,$55.60 B,$52.44 B,$49.75 B,$46.02 B,$42.94 B,$40.86 B,$36.64 B,$34.80 B,$34.07 B,$34.54 B,$30.17 B,$33.69 B,$35.86 B
takeda-pharmaceutical,$104.78 B,$107.99 B,$117.05 B,$118.67 B,$124.98 B,$38.62 B,$38.96 B,$34.03 B,$35.79 B,$44.40 B,$41.95 B,$43.16 B,$33.51 B,$30.18 B,$27.88 B,$28.53 B,$26.09 B,$25.83 B,$23.75 B,$22.41 B,$17.45 B,$14.74 B,$13.80 B
hilton-hotels,,$15.51 B,$15.44 B,$16.75 B,$14.95 B,$13.99 B,$14.30 B,$26.21 B,$25.71 B,$26.12 B,$26.56 B,$27.06 B,$27.31 B,,,,,,,,,,
kotak-mahindra-bank,$75.56 B,$72.07 B,$65.20 B,$58.77 B,$56.91 B,$51.87 B,$42.62 B,$36.28 B,$23.76 B,$20.42 B,$21.34 B,$18.15 B,$16.51 B,$12.30 B,$7.92 B,$10.17 B,$6.63 B,$4.03 B,$2.62 B,,,,
mizuho-financial-group,$1.908 T,$1.942 T,$2.045 T,$1.986 T,$1.809 T,$1.928 T,$1.793 T,$1.721 T,$1.580 T,$1.708 T,$1.881 T,$1.995 T,$1.933 T,$1.670 T,$1.566 T,$1.546 T,$1.272 T,$1.270 T,$1.335 T,$1.321 T,$1.135 T,,
foxconn-industrial-internet,,$41.20 B,$41.84 B,$34.57 B,$29.43 B,$29.16 B,$22.84 B,$19.54 B,$16.92 B,,,,,,,,,,,,,,
pernod-ricard,,$37.62 B,$38.26 B,$35.45 B,$35.28 B,$34.51 B,$34.42 B,$34.04 B,$34.11 B,$37.68 B,$35.77 B,$35.90 B,$37.20 B,$33.15 B,$34.92 B,$29.02 B,$26.54 B,$25.25 B,$8.68 B,,$8.86 B,$8.11 B,
ford,,$255.88 B,$257.03 B,$267.26 B,$258.53 B,$256.54 B,$257.80 B,$237.95 B,$224.92 B,$208.52 B,$202.02 B,$190.55 B,$178.34 B,$164.68 B,$194.85 B,$218.32 B,$279.26 B,$278.55 B,$269.47 B,$292.65 B,$315.92 B,$289.35 B,$276.54 B
basf,,$90.46 B,$98.96 B,$98.75 B,$97.40 B,$99.01 B,$94.56 B,$80.52 B,$77.45 B,$86.78 B,$88.91 B,$85.08 B,$79.28 B,$79.00 B,$73.45 B,$71.10 B,$68.33 B,$59.86 B,$42.11 B,$45.97 B,$42.23 B,$37.80 B,$39.77 B
idexx-laboratories,,$2.74 B,$2.43 B,$2.29 B,$1.83 B,$1.53 B,$1.71 B,$1.53 B,$1.47 B,$1.38 B,$1.23 B,$1.10 B,$1.03 B,$0.89 B,$0.80 B,$0.76 B,$0.70 B,$0.55 B,$0.49 B,$0.51 B,$0.52 B,$0.41 B,$0.37 B
stmicroelectronics,,$20.98 B,$15.54 B,$15.30 B,$11.86 B,$11.79 B,$10.87 B,$9.06 B,$9.15 B,$10.01 B,$9.18 B,$10.43 B,$12.09 B,$13.34 B,$13.65 B,$13.89 B,$14.27 B,$14.19 B,$12.43 B,$13.80 B,$13.47 B,$12.00 B,$10.79 B
constellation-brands,$24.66 B,$25.85 B,$27.10 B,$27.32 B,$29.23 B,$20.53 B,$18.60 B,$16.96 B,$15.14 B,$14.30 B,$7.63 B,$7.10 B,$7.16 B,$8.09 B,$8.03 B,$10.05 B,$9.43 B,$7.40 B,$7.80 B,$5.55 B,$3.19 B,$3.06 B,$2.51 B
macquarie,$260.52 B,$299.50 B,$186.91 B,$157.80 B,$144.54 B,$146.99 B,$139.99 B,$150.73 B,$143.95 B,$142.51 B,$156.99 B,$160.17 B,$162.59 B,$133.62 B,$103.17 B,$152.83 B,$111.40 B,$81.47 B,$32.35 B,$28.71 B,$21.33 B,$19.83 B,$18.26 B
williams-companies,,$48.43 B,$47.61 B,$44.16 B,$46.04 B,$45.30 B,$46.35 B,$46.83 B,$49.02 B,$50.56 B,$27.14 B,$24.32 B,$16.50 B,$24.97 B,$25.28 B,$26.00 B,$25.06 B,$25.40 B,$29.44 B,$23.99 B,$27.02 B,$34.98 B,$38.90 B
lafargeholcim,,$62.35 B,$65.54 B,$60.37 B,$60.19 B,$60.69 B,$65.39 B,$68.33 B,$74.18 B,$40.14 B,$42.76 B,$45.39 B,$45.36 B,$47.36 B,$47.57 B,$43.33 B,$42.58 B,$36.74 B,$28.96 B,$22.67 B,$20.07 B,$28.93 B,
daikin,$32.30 B,$31.33 B,$29.37 B,$24.69 B,$24.33 B,$23.42 B,$21.07 B,$19.49 B,$18.86 B,$19.56 B,$18.41 B,$14.00 B,$13.62 B,$12.18 B,$11.29 B,$12.15 B,$9.88 B,$6.10 B,$5.76 B,$5.14 B,$4.03 B,$3.45 B,$3.57 B
engie,,$252.20 B,$255.19 B,$188.41 B,$179.00 B,$175.83 B,$180.47 B,$166.85 B,$175.66 B,$201.04 B,$220.42 B,$271.82 B,$276.58 B,$245.61 B,$245.60 B,$233.75 B,$115.53 B,$56.72 B,$52.91 B,$43.28 B,$39.73 B,$30.72 B,
hikvision,,$17.28 B,$16.29 B,$13.59 B,$10.78 B,$9.23 B,$7.92 B,$5.95 B,$4.67 B,$3.43 B,$2.32 B,$1.69 B,$1.32 B,$0.99 B,$0.32 B,$0.20 B,$0.11 B,$61.16 M,,,,,
ocbc-bank,,$418.71 B,$401.05 B,$394.11 B,$364.70 B,$342.23 B,$340.26 B,$283.26 B,$275.84 B,$303.65 B,$267.13 B,$242.00 B,$214.30 B,$177.99 B,$138.39 B,$126.83 B,$121.33 B,$98.70 B,$79.00 B,$73.48 B,$49.73 B,$62.57 B,$63.59 B
square,,$31.36 B,$13.92 B,$9.86 B,$4.55 B,$3.28 B,$2.18 B,$1.21 B,$0.89 B,$0.54 B,$0.31 B,,,,,,,,,,,,
zijin-mining,,$44.37 B,$32.73 B,$27.95 B,$17.72 B,$16.41 B,$13.72 B,$12.84 B,$12.94 B,$12.13 B,$11.05 B,$10.80 B,$8.32 B,$5.80 B,$4.34 B,$3.84 B,$2.30 B,$1.45 B,$0.67 B,$0.39 B,,,
jingdong-mall,,$86.30 B,$77.91 B,$64.74 B,$37.17 B,$30.41 B,$28.29 B,$23.09 B,$13.14 B,$10.73 B,$4.29 B,$2.86 B,$1.68 B,,,,,,,,,,
valero,,$60.98 B,$57.88 B,$51.77 B,$53.86 B,$50.15 B,$50.15 B,$46.17 B,$44.34 B,$45.55 B,$47.26 B,$44.47 B,$42.78 B,$37.62 B,$35.62 B,$34.41 B,$42.72 B,$37.75 B,$32.72 B,$19.39 B,$15.66 B,$14.46 B,$14.37 B
axis-bank,$163.75 B,$157.66 B,$137.56 B,$123.05 B,$117.24 B,$108.08 B,$94.37 B,$80.16 B,$74.74 B,$64.56 B,$62.74 B,$56.10 B,$54.37 B,$40.32 B,$29.08 B,$27.46 B,$16.96 B,$11.16 B,$8.65 B,$5.57 B,,,
gazprom,,$354.45 B,$362.89 B,$313.35 B,$353.10 B,$299.33 B,$316.61 B,$276.31 B,$232.85 B,$268.34 B,$411.10 B,$396.45 B,$340.76 B,$302.30 B,$278.81 B,$234.84 B,$276.51 B,$227.66 B,$150.49 B,$115.69 B,,,
cheniere-energy,,$41.26 B,$39.25 B,$35.69 B,$35.49 B,$31.98 B,$27.90 B,$23.70 B,$19.01 B,$12.57 B,$9.67 B,$4.63 B,$2.91 B,$2.55 B,$2.73 B,$2.92 B,$2.96 B,$2.60 B,$1.30 B,$0.33 B,$24.59 M,$21.05 M,$25.02 M
american-electric-power,,$93.40 B,$87.66 B,$80.75 B,$75.89 B,$68.80 B,$64.72 B,$63.46 B,$61.68 B,$59.63 B,$56.41 B,$54.36 B,$52.22 B,$50.45 B,$48.34 B,$45.15 B,$40.36 B,$37.98 B,$36.17 B,$34.66 B,$36.74 B,$34.74 B,$47.28 B
digital-realty,,$41.48 B,$36.36 B,$36.07 B,$23.06 B,$23.76 B,$21.40 B,$12.19 B,$11.45 B,$9.52 B,$9.68 B,$8.81 B,$6.09 B,$5.32 B,$3.74 B,$3.27 B,$2.80 B,$2.18 B,$1.52 B,$1.01 B,$0.47 B,$0.26 B,
the-travelers-companies,,$115.71 B,$120.46 B,$116.76 B,$110.12 B,$104.23 B,$103.48 B,$100.24 B,$100.18 B,$103.07 B,$103.81 B,$104.93 B,$104.60 B,$105.18 B,$109.82 B,$109.75 B,$115.22 B,$113.76 B,$113.18 B,$111.81 B,$39.56 B,$39.92 B,$38.32 B
edwards-lifesciences,,$8.29 B,$8.50 B,$7.23 B,$6.48 B,$5.32 B,$5.69 B,$4.51 B,$4.05 B,$3.52 B,$2.72 B,$2.22 B,$1.98 B,$1.76 B,$1.61 B,$1.40 B,$1.34 B,$1.24 B,$1.22 B,$1.11 B,$1.10 B,$1.00 B,$0.97 B
credit-agricole,,$2.321 T,$2.348 T,$2.412 T,$1.980 T,$1.858 T,$1.861 T,$1.604 T,$1.672 T,$1.932 T,$2.122 T,$2.437 T,$2.233 T,$2.119 T,$2.231 T,$2.311 T,$2.064 T,$1.667 T,$1.254 T,$1.105 T,$989.55 B,,
te-connectivity,$21.71 B,$20.78 B,$21.46 B,$19.24 B,$19.69 B,$20.38 B,$19.40 B,$17.60 B,$20.60 B,$20.15 B,$18.46 B,$19.30 B,$17.72 B,$16.99 B,$16.22 B,$21.60 B,$23.68 B,$19.09 B,$18.47 B,$18.78 B,$18.13 B,$18.84 B,
seattle-genetics,,$3.67 B,$3.71 B,$4.00 B,$2.20 B,$1.50 B,$0.87 B,$0.83 B,$0.89 B,$0.45 B,$0.48 B,$0.47 B,$0.42 B,$0.32 B,$0.38 B,$0.18 B,$0.14 B,$97.69 M,$90.01 M,$0.11 B,$81.99 M,$52.53 M,$63.02 M
old-dominion-freight-line,,$4.83 B,$4.82 B,$4.36 B,$3.99 B,$3.54 B,$3.06 B,$2.69 B,$2.46 B,$2.23 B,$1.93 B,$1.71 B,$1.51 B,$1.23 B,$1.15 B,$1.07 B,$0.98 B,$0.89 B,$0.64 B,$0.50 B,$0.43 B,$0.38 B,$0.31 B
