Company,2023 (TTM),2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001
allstate,-$7.93,-$5.24,$5.19,$17.68,$14.29,$6.51,$8.50,$4.74,$5.11,$6.38,$4.86,$4.71,$1.51,$1.69,$1.58,-$3.09,$7.83,$7.89,$2.60,$4.57,$3.86,$2.06,$1.61
manulife-financial,$2.12,-$0.21,$2.82,$2.19,$2.11,$1.79,$0.74,$1.09,$0.82,$1.64,$1.55,$0.94,$0.06208,-$0.88,$0.79,$0.50,$2.70,$2.22,$1.73,$1.43,$1.24,$1.06,$0.88
ferguson,$9.16,$10.08,$7.63,,,,,,,,,,,,,,,,,,,,
ametek,$5.56,$5.05,$4.28,$3.81,$3.79,$3.38,$2.96,$2.19,$2.46,$2.38,$2.11,$1.90,$1.61,$1.19,$0.85,$1.04,$0.96,$0.77,$0.58,$0.48,$0.38,$0.38,$0.30
prudential-financial,$2.93,-$4.46,$19.58,-$1.03,$10.27,$9.66,$18.35,$10.88,$12.37,$2.70,-$1.57,$1.03,$7.23,$5.38,$7.56,-$2.54,$7.74,$6.64,$6.46,$3.38,$2.00,$0.95,
dow,$1.84,$6.29,$8.44,$1.63,-$1.85,$6.11,,,,,,,,,,,,,,,,,
mplx,$3.49,$3.75,$2.86,-$0.78,$1.20,$2.30,$1.06,-$0.05000,$1.34,$1.55,$1.04,$0.35,$3.63,,,,,,,,,,
ameriprise-financial,$25.07,$22.92,$23.62,$12.18,$14.14,$14.40,$9.58,$7.90,$8.59,$8.46,$6.57,$4.74,$4.41,$4.27,$2.88,-$0.18,$3.46,$2.55,$2.32,,,,
kuhne-nagel,$14.93,$23.42,$18.30,$7.14,$6.78,$6.58,$6.33,$6.10,$5.86,$5.69,$5.41,$4.35,,,,,,,,,,,
otis-worldwide,$3.34,$2.97,$2.91,$2.09,$2.58,,,,,,,,,,,,,,,,,,
givaudan,$97.44,$91.42,$78.64,$73.12,$80.29,$68.67,$68.71,$61.89,$60.22,$49.35,$29.54,$40.52,$24.24,$14.36,$11.59,$48.18,$42.99,$39.14,$21.86,$33.87,,,
givaudan,$97.44,$91.42,$78.64,$73.12,$80.29,$68.67,$68.71,$61.89,$60.22,$49.35,$29.54,$40.52,$24.24,$14.36,$11.59,$48.18,$42.99,$39.14,$21.86,$33.87,,,
waste-connections,$3.23,$3.25,$2.37,$0.78,$2.15,$2.07,$2.18,$1.05,$1.20,$1.25,$1.06,$0.87,$0.97,$0.78,$0.61,$0.64,$0.64,$0.51,$0.54,$0.46,$0.45,$0.39,$0.22
fastenal,$1.99,$1.90,$1.61,$1.50,$1.38,$1.32,$1.00,$0.87,$0.88,$0.84,$0.76,$0.71,$0.61,$0.45,$0.31,$0.47,$0.39,$0.33,$0.28,$0.22,$0.14,$0.13,$0.11
sun-pharmaceutical,$0.43,$0.21,$0.36,$0.14,$0.24,$0.21,$0.13,$0.44,$0.51,$0.39,$0.21,$0.24,,,,,,,,,,,
deutsche-boerse,$9.81,$8.59,$7.68,$6.77,$6.12,$5.27,$5.35,$7.55,$3.98,$5.41,$3.44,$4.47,$6.35,$2.95,$3.71,,,,,,,,
constellation-energy,$2.40,-$0.49,-$0.63,,,,,,,,,,,,,,,,,,,,
alcon,$0.73,$0.68,$0.76,-$1.09,-$1.34,,,,,,,,,,,,,,,,,,
uniper,-$71.13,-$108.21,-$13.30,$1.15,$1.88,-$1.27,-$2.45,-$9.93,,,,,,,,,,,,,,,
li-auto,$0.26,-$0.30,-$0.05711,-$0.13,,,,,,,,,,,,,,,,,,,
gartner,$11.65,$10.08,$9.34,$2.99,$2.60,$1.35,$0.06000,$2.35,$2.11,$2.05,$1.97,$1.78,$1.43,$1.01,$0.87,$1.10,$0.71,$0.51,-$0.03000,$0.13,$0.26,$0.18,-$0.60
cognizant-technology-solutions,$4.12,$4.42,$4.06,$2.57,$3.29,$3.61,$2.53,$2.57,$2.67,$2.36,$2.04,$1.74,$1.46,$1.22,$0.91,$0.75,$0.61,$0.42,$0.31,$0.19,$0.12,$0.07250,$0.04750
experian,$0.84,$1.28,$0.88,$0.75,$0.77,$0.85,$0.92,$0.79,$0.79,$0.77,$0.37,$0.66,$0.58,$0.59,$0.48,$0.43,$0.50,$1.08,$0.49,,,,
e-on,$0.22,$0.71,$2.10,$0.46,$0.73,$1.76,$2.06,-$4.67,-$4.03,-$1.95,$1.37,$1.50,-$1.48,$4.01,$6.20,$1.23,$5.15,$3.81,$5.08,$2.73,$2.82,$1.54,$1.06
7-eleven,$2.11,$2.31,$2.29,$1.92,$2.25,$1.92,$1.73,$1.11,$1.59,$1.86,$1.94,$2.03,$1.52,$0.87,,,,,,,,,
yum,$5.35,$4.63,$5.31,$3.00,$4.23,$4.79,$3.87,$4.18,$2.98,$2.35,$2.41,$3.46,$2.81,$2.45,$2.29,$2.03,$1.75,$1.51,$1.33,$1.27,$1.06,$0.98,$0.84
fidelity-national-information-services,-$39.77,-$28.21,$0.69,$0.25,$0.98,$2.58,$3.97,$1.74,$2.22,$2.39,$1.71,$1.58,$1.56,$1.17,$0.69,$1.11,$2.91,$1.37,$1.54,$3.02,$1.42,$1.32,
partners-group,$42.58,$61.50,$34.74,$35.03,$29.39,$29.14,$20.76,$15.17,$14.65,$13.91,$11.11,$8.52,$12.78,$8.02,$6.60,$8.96,$5.20,$2.83,,,,,
interactive-brokers,$5.54,$3.77,$3.31,$2.42,$2.12,$2.31,$1.10,$1.30,$0.77,$0.80,$0.75,$0.89,-$9.47,-$6.26,$0.79,$2.30,$1.65,$1.83,,,,,
capgemini,$9.74,$7.78,$7.02,$5.77,$5.00,$5.86,$5.73,$7.29,$4.48,$3.87,$2.99,$3.33,$2.43,$1.76,$4.39,$4.44,$2.92,$1.26,-$5.52,-$1.98,-$4.46,$1.33,
biogen,$18.46,$20.99,$10.43,$24.50,$31.52,$21.64,$11.93,$16.95,$15.37,$12.43,$7.87,$5.79,$5.10,$3.99,$3.37,$2.67,$2.02,$0.64,$0.48,$0.07245,-$4.91,$0.97,$1.84
uob,$1.59,$1.92,$1.78,$1.50,$1.39,$1.44,$1.55,$1.47,$1.38,$1.12,$1.26,$1.48,,,,,,,,,,,
ppg-industries,$6.01,$4.35,$6.05,$4.48,$5.25,$5.56,$6.36,$3.30,$5.19,$7.57,$11.12,$3.06,$3.48,$2.34,$1.02,$1.64,$2.53,$2.14,$1.76,$1.99,$1.46,-$0.21,$1.15
bank-mandiri,$0.03261,$0.02845,$0.02104,$0.01302,$0.02115,$0.01842,$0.01633,$0.01095,$0.01574,$0.01714,$0.01596,$0.01728,$0.01461,$0.01216,$0.008911,$0.005617,$0.005457,$0.003265,$0.0007480,,,,
btg-pactual,$0.14,$0.13,$0.10,$0.07204,$0.09063,$0.03199,$0.06493,$0.18,$0.27,$0.28,$0.19,$0.33,,,,,,,,,,,
exor,$8.84,-$0.16,$14.74,$6.56,$7.12,$2.64,$3.64,$1.78,$12.90,$1.72,$2.81,$1.14,-$6.45,$4.88,$7.50,$1.77,$1.52,$0.99,,,,,
las-vegas-sands,$0.88,$2.40,-$1.26,-$2.20,$3.50,$3.06,$3.54,$2.10,$2.47,$3.52,$2.80,$1.91,$1.73,$0.61,-$0.82,-$0.47,$0.33,$1.24,$0.80,$1.52,,,
the-trade-desk,$0.27,$0.11,$0.29,$0.52,$0.24,$0.21,$0.13,-$0.06079,,,,,,,,,,,,,,,
compagnie-de-saint-gobain,$6.25,$5.42,$1.05,$2.90,$0.84,$3.40,$2.48,$2.51,$2.08,$1.52,$1.93,$3.16,$2.90,$0.62,$5.13,$5.91,$6.35,$4.44,$4.98,$3.88,,,
coinbase,-$5.63,-$11.80,$17.50,$0.46,,,,,,,,,,,,,,,,,,,
costar-group,$1.00,$0.93,$0.75,$0.60,$0.87,$0.66,$0.37,$0.26,-$0.01100,$0.15,$0.11,$0.03700,$0.06400,$0.06500,$0.09500,$0.13,$0.08400,$0.06600,$0.03400,$0.14,$0.002000,-$0.03000,-$0.13
wolters-kluwer,$3.16,$3.35,$2.77,$2.71,$2.68,$1.77,$1.57,$1.95,$1.62,$1.39,$0.52,$1.29,$0.59,$1.54,$4.45,$1.37,$1.02,$1.42,-$0.30,$1.46,$0.54,,
xcel-energy,$3.16,$3.18,$2.96,$2.79,$2.65,$2.47,$2.26,$2.21,$1.94,$2.03,$1.91,$1.87,$1.73,$1.63,$1.47,$1.46,$1.36,$1.40,$1.25,$0.87,$1.55,-$5.50,$2.31
bayer,-$3.93,$4.64,$1.11,-$12.14,$4.65,$2.26,$9.51,$6.07,$5.50,$5.53,$5.08,$3.81,$4.16,$2.05,$2.37,$3.45,$8.47,$2.94,$2.23,$2.52,-$2.48,$1.58,$1.27
verisk-analytics,$3.41,$6.00,$4.12,$4.37,$2.75,$3.64,$3.35,$3.52,$3.06,$2.41,$2.07,$1.98,$1.70,$1.36,$0.72,$0.93,,,,,,,
anglo-american,$3.72,$6.93,$1.69,$2.81,$2.80,$2.48,$1.24,-$4.36,-$1.96,-$0.75,-$1.19,$5.10,$5.43,$2.02,$4.34,$5.58,$4.63,$2.67,$2.23,$1.24,$1.22,$2.30,
ares-management,$1.66,$0.87,$2.21,$0.82,$1.11,$0.33,$0.62,$1.22,$0.24,$0.95,$6.61,,,,,,,,,,,,
united-rentals,$34.61,$29.88,$19.12,$12.27,$15.26,$13.28,$15.91,$6.52,$6.18,$5.52,$4.13,$0.81,$1.60,-$0.45,-$1.02,-$12.35,$3.59,$2.32,$1.97,-$1.16,-$3.29,-$5.00,$1.53
wanhua-chemical,$0.65,$0.77,$1.21,$0.47,$0.47,$0.75,$0.61,$0.21,$0.09840,$0.15,$0.18,$0.14,$0.11,$0.08834,$0.06014,$0.09235,$0.07600,$0.05054,$0.02912,$0.01881,$0.01082,$0.007187,
naspers,$0.26,$0.27,$0.24,,,,,,,,,,,,,,,,,,,,
kuwait-finance-house,$0.14,$0.09726,$0.07839,$0.04765,$0.08049,$0.07482,$0.06050,$0.05434,$0.04717,$0.03924,$0.03866,$0.03080,,,,,,,,,,,
ntpc-limited,$0.22,$0.22,$0.22,$0.16,$0.22,,,,,,,,,,,,,,,,,,
dsv,$8.82,$10.92,$7.69,$2.93,$2.80,$3.46,$2.48,$1.33,$1.79,$1.49,$1.59,$1.36,$1.36,$1.13,$0.17,,,,,,,,
on-semiconductor,$5.16,$4.39,$2.36,$0.58,$0.52,$1.48,$1.92,$0.44,$0.49,$0.43,$0.37,-$0.20,$0.13,$0.67,$0.14,-$1.19,$0.84,$0.85,$0.24,-$0.58,-$0.83,-$0.86,-$4.76
hyundai,$13.87,$11.03,$8.24,$2.42,$4.89,$2.58,$6.72,$8.77,$10.45,$12.84,$14.47,$14.36,$12.56,$8.89,$4.67,$1.68,$2.42,,,,,,
verbund,$8.14,$5.26,$2.92,$2.10,$1.78,$1.47,$0.99,$1.36,$0.66,$0.48,$2.20,$1.45,$1.41,$1.69,$2.91,$3.35,,,,,,,
cummins,$19.76,$15.21,$14.74,$12.07,$14.48,$13.22,$5.95,$8.26,$7.84,$9.04,$7.93,$8.69,$9.58,$5.30,$2.17,$3.87,$3.72,$3.76,$3.10,$2.06,$0.30,$0.58,-$0.68
mobileye,-$0.08000,-$0.10,,,,,,,,,,,,,,,,,,,,,
rwe,$3.83,$4.35,$1.37,$1.78,$15.13,$0.68,$3.36,-$9.76,-$0.35,$3.63,-$6.35,$2.80,$4.65,$8.22,$9.22,,,,,,,,
bajaj-finserv,$0.56,$0.47,$0.36,$0.31,$0.36,$0.28,$0.25,$0.21,$0.20,$0.17,$0.19,$0.20,,,,,,,,,,,
swiss-re,N/A,$10.71,$13.44,$10.23,$12.94,$11.86,$7.68,$2.51,,,,,,,,,,,,,,,
baker-hughes,$1.67,-$0.60,-$0.35,-$15.28,$0.22,$0.43,-$0.73,,,,,,,,,,,,,,,,
ultratech-cement,$2.40,$2.66,$3.18,$3.22,$1.87,$0.95,$1.41,$1.52,$1.31,$1.38,,,,,,,,,,,,,
beiersdorf,N/A,$3.21,$3.07,$3.11,$2.55,$1.60,$1.83,$2.17,,,,,,,,,,,,,,,
kroger,$2.24,$3.22,$3.78,$1.97,$4.38,$1.70,$2.10,$2.04,$1.62,$1.51,$0.71,$0.98,$0.86,$0.12,$0.94,$0.88,$0.70,$0.02500,$0.14,$0.64,$0.77,$0.64,
rbi,$3.31,$3.29,$2.71,$1.61,$2.40,$2.45,$2.62,$1.48,$0.51,-$1.35,,,,,,,,,,,,,
rockwell-automation,$12.02,$9.27,$8.67,$11.26,$7.91,$6.95,$2.90,$5.88,$6.00,$6.15,$5.71,$5.08,$5.10,$3.78,$1.27,$3.71,$7.81,$5.17,$2.55,$2.10,$1.64,$1.30,-$0.51
citic-bank,$0.18,$0.17,$0.17,$0.14,$0.14,$0.13,$0.12,$0.13,$0.14,$0.14,$0.14,$0.10,$0.11,$0.07838,$0.05153,$0.05525,,,,,,,
east-money,$0.07409,$0.08012,$0.10,$0.05346,$0.02122,$0.01227,$0.008259,$0.009492,$0.02542,$0.002548,$0.0001041,$0.0005670,$0.001396,$0.001047,$0.001450,,,,,,,,
orange,N/A,$1.56,$3.38,$2.01,$2.78,$1.56,$1.95,-$20.71,-$7.82,,,,,,,,,,,,,,
dmart,$0.44,$0.45,$0.31,$0.20,$0.28,,,,,,,,,,,,,,,,,,
consolidated-edison,$6.97,$4.68,$3.86,$3.30,$4.08,$4.44,$4.95,$4.14,$4.07,$3.73,$3.62,$3.89,$3.60,$3.49,$3.16,$4.37,$3.48,$2.96,$2.95,$2.28,$2.39,$3.03,$3.22
generali,N/A,$1.44,$1.43,$1.64,$0.06135,$0.78,$1.46,$1.33,,,,,,,,,,,,,,,
corteva,$1.30,$1.58,$2.38,$0.90,-$1.28,-$6.91,,,,,,,,,,,,,,,,,
vici-properties,$2.39,$1.26,$1.80,$1.71,$1.26,$1.43,,,,,,,,,,,,,,,,,
banco-do-brasil,$2.25,$2.04,$1.23,$0.85,$1.59,$1.17,$1.18,$0.87,$1.28,$1.51,$2.38,$2.10,$2.30,$2.51,$3.01,$1.48,$1.16,$3.43,$0.80,,,,
smc,$22.35,$26.04,$24.74,$14.95,$14.36,$17.69,$18.37,$13.90,$12.75,$14.15,$12.48,$11.05,$9.52,$8.40,$0.79,,,,,,,,
tata-motors,$0.02391,-$1.08,,,,,,,,,,,,,,,,,,,,,
halliburton,$2.92,$1.73,$1.63,-$3.36,-$1.28,$1.89,-$0.53,-$6.70,-$0.79,$4.14,$2.43,$2.85,$3.09,$2.02,$1.27,$2.52,$3.86,$2.33,$2.34,-$1.12,-$0.95,-$1.16,$0.94
nasdaq,$2.25,$2.28,$2.38,$1.89,$1.56,$0.92,$1.47,$0.22,$0.86,$0.82,$0.77,$0.70,$0.73,$0.65,$0.44,$0.57,$1.49,$0.41,$0.23,-$0.006666,-$0.49,$0.13,$0.12
global-payments,$3.34,$0.45,$3.29,$1.95,$2.36,$2.86,$3.00,$1.67,$2.24,$1.86,$1.60,$1.60,$1.46,$1.16,$0.31,$1.18,$0.93,$0.88,$0.44,$0.45,$0.20,$0.14,$0.21
amadeus-it-group,$2.15,$1.54,-$0.37,-$1.64,$2.92,$2.83,$2.62,$2.10,$1.66,$1.86,$1.73,$1.45,$3.11,-$0.27,$1.06,,,,,,,,
caixabank,$0.62,$0.42,$0.75,$0.26,$0.28,$0.37,$0.32,$0.21,$0.16,$0.15,$0.12,$0.06633,$0.16,$0.21,,,,,,,,,
wuxi-apptec,$0.46,$0.44,$0.27,$0.15,$0.09736,$0.14,$0.08274,,,,,,,,,,,,,,,,
thales,$5.67,$5.80,$2.79,$5.91,$5.29,$3.85,$4.73,$4.02,$4.24,$3.94,$3.89,$3.37,-$0.73,-$1.48,$4.01,$6.66,$3.04,$2.35,$2.71,$0.87,$0.76,-$2.46,
moderna,-$9.14,$21.12,$30.28,-$1.94,-$1.55,-$1.13,,,,,,,,,,,,,,,,,
prudential,$0.73,-$1.55,$1.63,$0.61,$3.96,$3.40,$2.29,$4.43,$4.21,$2.87,$4.45,$2.75,$2.70,$1.41,-$0.69,$3.05,$2.79,$1.87,$1.80,$2.04,-$0.70,-$0.72,
pseg,$5.62,$2.07,-$1.28,$3.77,$3.35,$2.84,$3.11,$1.76,$3.32,$3.00,$2.46,$2.52,$2.96,$3.09,$3.16,$2.34,$2.63,$1.47,$1.38,$1.53,$2.54,$0.56,$1.35
rolls-royce-holdings,-$0.18,$0.01944,-$0.72,-$0.31,-$0.56,$1.06,-$0.93,$0.02294,$0.01966,$0.41,$0.68,$0.24,$0.15,$0.67,-$0.37,$0.23,$0.39,$0.12,$0.10,$0.04297,$0.01412,$0.02868,
luxshare-precision,$0.19,$0.19,$0.16,$0.16,$0.09909,$0.05855,$0.03719,$0.02675,$0.02725,$0.01604,$0.009716,$0.007351,$0.007027,$0.003580,,,,,,,,,
ge-healthcare-technologies,$3.47,$4.30,,,,,,,,,,,,,,,,,,,,,
henkel,$5.36,$6.25,$6.66,$5.24,$4.89,$4.92,$4.84,$4.42,$3.71,$3.39,$1.95,,,,,,,,,,,,
royal-caribbean,$3.58,-$8.46,-$20.87,-$27.12,$8.97,$8.62,$7.58,$5.98,$3.04,$3.44,$2.15,$0.09000,$2.80,$2.50,$0.77,$2.69,$2.84,$3.03,$3.45,$2.39,$1.46,$1.82,$1.32
dupont-de-nemours,$9.69,$11.95,$10.87,-$4.01,$0.67,$4.98,$4.80,$10.65,$19.50,$8.70,$11.16,$2.13,$6.21,$5.25,$0.84,$1.83,$9.06,$11.58,$14.07,$8.94,$5.64,-$1.11,-$1.29
muyuan-foods,$0.47,$0.34,$0.19,$0.78,$0.17,$0.01553,$0.07355,$0.07891,$0.02977,$0.006264,$0.01370,,,,,,,,,,,,
lyondellbasell,$7.00,$11.84,$16.77,$4.24,$9.61,$12.05,$12.27,$9.20,$9.61,$8.07,$6.83,$4.95,$3.76,,,,,,,,,,
cenovus-energy,$1.60,$2.51,$0.21,-$1.38,$1.36,-$1.63,$2.34,-$0.50,$0.50,$0.95,$0.85,$1.31,$1.96,$1.40,$0.91,,,,,,,,
imperial-oil,$6.62,$8.72,$2.78,-$1.92,$2.20,$2.19,$0.45,$1.91,$1.01,$4.05,$3.21,$4.46,$3.98,$2.55,$1.68,$4.12,$4.07,$2.74,$2.14,$1.54,$1.13,$0.67,$0.46
extra-space-storage,$6.13,$6.42,$6.20,$3.73,$3.27,$3.28,$3.79,$2.91,$1.58,$1.54,$1.51,$1.13,$0.55,$0.30,$0.37,$0.51,$0.52,$0.26,-$0.14,-$4.31,,,
smic,$0.19,$0.22,$0.11,$0.04500,$0.04526,$0.05000,$0.08464,$0.06555,$0.04528,$0.05402,$0.01456,,,,,,,,,,,,
swisscom,$35.95,$32.80,$38.03,$31.86,$32.85,$30.18,$31.16,$31.53,$27.41,$35.23,$35.34,$37.67,$16.05,$34.71,$34.64,$32.44,$33.85,$23.16,$26.61,$20.26,$17.66,$13.72,$76.12
weg-on,$0.24,$0.19,$0.16,$0.10,$0.09643,$0.08436,$0.08432,$0.07999,$0.07688,$0.09533,$0.09121,$0.07909,$0.08182,$0.07170,$0.06919,$0.07395,$0.07336,$0.02290,$0.01092,,,,
sun-life-financial,$3.64,$3.92,$5.32,$3.08,$3.35,$3.17,$2.73,$3.08,$2.75,$2.60,$1.48,$2.64,-$0.52,$2.44,$0.88,$1.35,$3.74,$3.17,$2.64,$2.21,$1.60,$0.49,$1.37
great-west-lifeco,$2.23,$3.18,$2.66,$2.38,$1.89,$2.28,$1.69,$2.03,$2.12,$2.29,$2.25,$1.91,$2.13,$1.66,$1.54,$1.67,$2.20,$1.85,$1.64,$1.41,$1.10,$0.92,$0.51
kuaishou-technology,-$0.12,-$0.49,-$3.77,-$4.10,,,,,,,,,,,,,,,,,,,
barrick-gold,-$0.04000,$0.24,$1.14,$1.31,$2.26,-$1.31,$1.23,$0.56,-$2.44,-$2.49,-$10.14,-$0.53,$4.49,$3.63,-$4.70,$0.90,$1.30,$1.78,$0.70,$0.47,$0.37,$0.36,$0.52
zscaler,-$1.41,-$2.60,-$2.17,-$1.17,-$0.30,-$0.34,,,,,,,,,,,,,,,,,
japan-post,$0.64,$0.99,$1.00,$1.06,$1.16,$1.07,$0.11,$0.76,,,,,,,,,,,,,,,
chunghwa-telecom,$1.56,$1.57,$1.64,$1.48,$1.38,$1.61,$1.67,$1.62,$1.70,$1.59,$1.82,$1.82,$2.04,$1.57,$1.72,$1.16,$1.44,$1.31,$0.96,$2.01,$1.22,,
ingersoll-rand,$1.89,$1.49,$1.37,-$0.13,$0.78,$1.34,-$0.01742,-$0.19,,,,,,,,,,,,,,,
oil-and-natural-gas,$0.36,$0.42,$0.48,$0.007588,$0.25,,,,,,,,,,,,,,,,,,
arch-capital,$7.96,$3.91,$5.36,$3.38,$3.96,$1.77,$1.40,$1.83,$1.40,$2.07,$1.75,$1.41,$1.04,$1.81,$1.59,$0.46,$1.30,$1.05,$0.81,$1.14,$1.19,$0.33,$0.19
adani-green-energy,$0.07768,$0.03065,$0.02467,$0.005311,-$0.03339,-$0.03829,,,,,,,,,,,,,,,,,
neste,$2.16,$2.64,$2.69,$1.06,$2.61,$1.19,$1.37,$1.35,$0.80,$0.10,$0.91,$0.27,$0.30,$0.40,$0.41,,,,,,,,
naturgy,-$0.29,-$0.50,$1.60,-$3.28,$1.57,$1.49,$1.74,$1.93,$1.91,$2.35,$2.32,$1.69,$2.87,,,,,,,,,,
telstra,$0.09908,$0.12,$0.11,$0.13,$0.22,$0.25,$0.35,$0.26,$0.32,$0.28,$0.28,$0.28,$0.26,$0.27,$0.29,$0.23,$0.16,$0.20,$0.18,$0.15,$0.16,$0.17,
coca-cola-european-partners,$1.88,$2.20,$1.62,$1.88,$2.57,$2.68,$2.50,$2.30,$2.46,$1.67,$1.58,-$9.10,$1.46,-$2.47,$1.12,$1.18,$1.42,$1.13,-$0.96,,,,
jardine-matheson,$1.22,$6.01,-$1.07,$7.56,$4.58,$4.10,$3.71,$4.82,$4.14,$4.09,$4.01,$4.13,$8.58,$4.87,$1.89,$5.16,$3.83,$3.58,$2.69,$0.23,$0.29,-$0.11,
hp,$2.34,$3.04,$5.52,$2.02,$2.08,$3.29,$1.50,$1.45,$2.51,$2.66,$2.65,-$6.43,$3.37,$3.81,$3.20,$3.34,$2.75,$2.23,$0.82,$1.16,$0.84,-$0.09000,$0.21
dnb,$2.42,$2.16,$1.82,$1.28,$1.78,$1.77,$1.55,$1.37,$1.81,$1.97,$1.79,$1.40,$1.36,$1.52,$1.54,,,,,,,,
goodman,$1.26,$0.94,$0.57,$0.63,$0.45,$0.33,$0.54,$0.53,$0.36,$0.08791,$0.28,$0.32,-$0.42,-$1.66,$0.62,$1.45,$1.13,$0.21,,,,,
globalfoundries,$2.73,$2.67,-$0.47,,,,,,,,,,,,,,,,,,,,
renesas-electronics,$1.38,$1.04,$0.57,$0.25,-$0.03419,$0.28,$0.54,$0.30,$0.42,$0.30,-$0.32,-$5.35,-$2.96,-$1.85,-$9.94,,,,,,,,
copel,$0.14,$0.08056,$0.34,$0.27,$0.18,$0.14,$0.12,$0.09805,$0.12,$0.19,$0.18,$0.13,$0.23,$0.29,$0.14,$0.25,$0.18,$0.13,$0.07179,$0.03599,$0.02017,-$0.02399,$0.03492
ptt-pcl,$0.07486,$0.09165,$0.12,$0.04298,$0.10,$0.13,$0.14,$0.09302,$0.02283,$0.06307,$0.11,$0.12,$0.12,$0.09522,$0.06257,,,,,,,,
singtel,$0.04815,$0.05843,$0.14,$0.25,$0.17,$0.17,$0.18,$0.18,$0.20,$0.18,$0.18,,,,,,,,,,,,
dollar-general,$9.80,$10.35,$10.28,$10.16,$6.42,$6.78,$4.53,$4.25,$3.83,$3.34,$3.14,$2.76,$2.04,$1.45,$1.05,$0.29,-$0.03120,$0.73,$1.03,$0.94,$0.91,$0.78,$0.23
woolworths-group,$4.47,$1.24,$0.64,$1.45,$0.98,$0.92,-$0.73,$1.31,$1.85,$1.67,$1.52,$1.86,$1.38,$1.22,$1.29,$0.94,$0.68,$0.49,$0.44,$0.38,$0.33,$0.26,
loblaw-companies,$4.59,$4.39,$4.35,$2.30,$2.23,$1.52,$3.01,$1.83,$1.10,$0.20,$2.10,$2.25,$2.74,$2.36,$2.14,$1.84,$1.15,-$0.63,$2.29,$2.80,$2.30,$1.93,$1.49
lindt,$261.52,$224.23,$151.22,$221.09,$205.51,$194.36,$175.84,$166.57,$152.09,$150.96,$118.27,$115.56,$113.49,$82.28,$110.99,$99.22,$77.87,$59.90,$60.76,$45.45,$52.73,,
martin-marietta,$17.28,$13.91,$11.26,$11.57,$9.77,$7.46,$11.31,$6.67,$4.32,$2.56,$2.61,$1.82,$1.77,$2.09,$1.87,$4.20,$6.21,$5.40,$4.15,$2.68,$1.91,$1.77,$2.19
quanta-services,$4.82,$3.43,$3.45,$3.17,$2.76,$1.93,$2.01,$1.29,$1.59,$1.35,$1.87,$1.44,$0.64,$0.73,$0.81,$0.89,$0.98,$0.15,$0.26,-$0.07000,-$0.30,-$2.07,$1.10
3i,$5.46,$2.64,$0.27,$1.67,$2.13,$2.11,$1.23,$1.09,$0.91,$0.30,-$1.33,$0.32,$0.26,-$2.85,$2.57,$3.19,$2.29,$1.44,$1.48,,,,
assa-abloy,$1.13,$1.17,$1.12,$0.91,$0.96,$0.29,$0.93,$0.70,$0.82,$0.82,$0.66,$0.90,$0.53,$0.50,$0.32,,,,,,,,
nestle-india,$3.71,$3.09,$3.04,$2.90,$2.91,$2.42,$1.96,$1.55,$0.91,$2.01,$1.95,$2.07,,,,,,,,,,,
sun-hung-kai-properties,$1.12,$1.19,$1.05,$1.98,$2.20,$1.85,$1.46,$1.43,$1.61,$1.97,$2.14,$2.40,$1.50,$0.52,$1.39,$1.09,$1.06,$0.96,$0.37,$0.34,$0.46,$0.44,
cheniere-energy,$50.93,$5.89,-$9.23,-$0.35,$2.56,$1.97,-$1.70,-$2.68,-$4.29,-$2.44,-$2.32,-$1.81,-$2.60,-$1.37,-$3.17,-$7.96,-$3.65,-$2.68,-$0.56,-$0.64,-$0.21,-$0.21,-$0.44
vulcan-materials,$6.21,$4.33,$5.05,$4.40,$4.67,$3.90,$4.54,$3.15,$1.66,$1.56,$0.19,-$0.40,-$0.55,-$0.76,$0.21,$0.01000,$4.64,$4.86,$3.81,$2.82,$1.91,$1.86,$2.21
delta-electronics-thailand,$0.04064,$0.03477,$0.01652,$0.01829,$0.007665,$0.01276,$0.01185,$0.01259,$0.01556,$0.01464,$0.01420,$0.01144,$0.007436,$0.01072,$0.005219,,,,,,,,
flutter-entertainment,-$1.04,-$1.60,$0.20,$1.18,$1.51,$1.71,-$0.04372,$1.76,$2.00,$1.94,$1.81,$1.81,$1.40,$0.96,$1.11,$1.02,$0.59,$0.35,$0.42,$0.26,$0.14,$0.06677,
hannover-rueck,$15.23,$13.88,$11.88,$8.48,$11.90,$10.34,$9.13,$10.69,$10.54,$10.60,$9.87,$9.18,$6.85,$8.20,$8.54,,,,,,,,
mitsubishi-electric,$0.82,$0.70,$0.98,$0.75,$0.97,$0.98,$1.08,$0.90,$0.93,$0.88,$0.53,$0.45,$0.53,$0.80,$0.24,,,,,,,,
cdw-corporation,$8.12,$8.24,$7.15,$5.53,$5.07,$4.26,$3.38,$2.60,$2.37,$1.44,$0.85,$0.82,$0.12,-$0.20,$3.38,$3.35,$2.90,$2.10,$2.17,$1.96,,,
bridgestone,$4.12,$3.23,$5.08,-$0.31,$3.06,$3.51,$3.34,$3.13,$3.00,$3.55,$2.64,$2.67,$1.65,$1.47,$0.05035,,,,,,,,
