Company,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001
tencent,$371.34 B,$405.09 B,$562.84 B,$699.78 B,$460.66 B,$381.65 B,$493.31 B,$230.00 B,$184.98 B,$135.89 B,$118.75 B,$59.53 B,$7.21 B,$7.79 B,$2.75 B,,,,,,,,
samsung,$366.75 B,$293.00 B,$442.07 B,$500.83 B,$319.73 B,$230.36 B,$319.26 B,$203.99 B,$153.77 B,$176.45 B,$189.44 B,$208.13 B,$130.66 B,$109.32 B,$90.12 B,$46.12 B,$78.61 B,,,,,,
procter-and-gamble,$342.10 B,$359.15 B,$392.11 B,$345.01 B,$308.43 B,$229.94 B,$233.09 B,$224.99 B,$214.76 B,$245.98 B,$220.73 B,$185.45 B,$183.54 B,$180.17 B,$176.10 B,$181.18 B,$225.94 B,$202.79 B,$190.37 B,$138.94 B,$129.14 B,$111.11 B,$102.56 B
home-depot,$324.92 B,$321.92 B,$433.36 B,$285.96 B,$238.21 B,$194.07 B,$221.32 B,$163.33 B,$167.67 B,$138.33 B,$115.95 B,$92.47 B,$64.80 B,$57.45 B,$49.19 B,$39.02 B,$45.46 B,$81.96 B,$85.99 B,$93.85 B,$80.74 B,$55.72 B,$120.35 B
oracle,$311.22 B,$220.39 B,$232.88 B,$190.44 B,$169.94 B,$162.03 B,$195.72 B,$157.73 B,$153.47 B,$197.47 B,$172.07 B,$157.74 B,$128.91 B,$158.14 B,$122.92 B,$89.46 B,$115.98 B,$88.82 B,$63.02 B,$71.68 B,$69.16 B,$56.90 B,$75.91 B
nestle,$302.88 B,$318.59 B,$384.89 B,$333.08 B,$311.54 B,$241.32 B,$265.25 B,$221.53 B,$232.74 B,$233.81 B,$234.76 B,$208.25 B,$187.06 B,$190.81 B,$168.53 B,$144.22 B,$172.84 B,$143.26 B,$120.51 B,$105.25 B,$100.83 B,$135.05 B,$163.17 B
kweichow-moutai,$298.95 B,$311.05 B,$404.13 B,$384.82 B,$212.73 B,$107.77 B,$134.14 B,$60.43 B,$42.28 B,$34.97 B,$22.02 B,$34.80 B,$31.80 B,$26.25 B,$23.46 B,$15.05 B,$28.72 B,$10.63 B,$2.66 B,$1.74 B,$0.92 B,$0.84 B,$1.16 B
asml,$274.80 B,$220.27 B,$325.23 B,$205.12 B,$124.00 B,$66.06 B,$74.60 B,$47.78 B,$39.34 B,$47.11 B,$41.42 B,$25.84 B,$17.28 B,$16.73 B,$14.72 B,$7.80 B,$13.63 B,$11.75 B,$9.73 B,$7.70 B,$9.67 B,$4.03 B,$7.96 B
adobe,$277.73 B,$156.45 B,$269.35 B,$239.91 B,$159.08 B,$110.32 B,$86.08 B,$50.88 B,$46.76 B,$36.16 B,$29.71 B,$18.61 B,$13.89 B,$15.44 B,$19.22 B,$11.20 B,$24.31 B,$24.19 B,$21.86 B,$14.97 B,$9.14 B,$5.82 B,$7.32 B
chevron,$272.42 B,$347.06 B,$226.21 B,$162.56 B,$226.82 B,$207.00 B,$237.78 B,$222.19 B,$169.37 B,$210.85 B,$239.02 B,$210.51 B,$211.89 B,$183.18 B,$154.57 B,$148.25 B,$195.10 B,$159.15 B,$126.74 B,$110.64 B,$93.00 B,$42.71 B,$57.57 B
costco,$270.41 B,$202.61 B,$251.73 B,$166.89 B,$129.84 B,$89.73 B,$81.72 B,$70.32 B,$71.02 B,$62.44 B,$52.33 B,$43.01 B,$36.23 B,$31.52 B,$25.99 B,$22.74 B,$30.32 B,$23.91 B,$23.40 B,$22.86 B,$17.03 B,$12.78 B,$20.07 B
abbvie,$263.55 B,$285.80 B,$239.37 B,$189.17 B,$130.94 B,$136.33 B,$154.39 B,$101.76 B,$95.37 B,$104.14 B,$83.82 B,$53.97 B,,,,,,,,,,,
merck,$262.90 B,$281.30 B,$193.58 B,$206.95 B,$230.92 B,$198.09 B,$153.30 B,$162.31 B,$146.89 B,$161.17 B,$146.52 B,$123.91 B,$114.90 B,$111.07 B,$113.57 B,$64.27 B,$126.24 B,$94.51 B,$69.40 B,$70.98 B,$102.64 B,$127.44 B,$135.63 B
l-oreal,$255.04 B,$190.52 B,$252.82 B,$214.02 B,$165.05 B,$128.83 B,$123.61 B,$102.53 B,$95.08 B,$93.89 B,$105.77 B,$84.47 B,$63.04 B,$65.16 B,$65.34 B,$54.03 B,$86.65 B,$62.10 B,$46.10 B,$50.28 B,$55.32 B,,
coca-cola,$253.39 B,$275.08 B,$255.75 B,$235.67 B,$236.89 B,$202.08 B,$195.47 B,$178.81 B,$185.75 B,$184.33 B,$181.84 B,$162.00 B,$158.91 B,$150.74 B,$131.27 B,$104.73 B,$142.25 B,$111.84 B,$95.49 B,$100.32 B,$123.90 B,$108.32 B,$117.22 B
toyota,$252.74 B,$186.35 B,$252.84 B,$215.71 B,$196.93 B,$165.27 B,$191.03 B,$197.39 B,$191.06 B,$198.99 B,$193.90 B,$147.50 B,$103.51 B,$123.89 B,$130.75 B,$102.62 B,$169.76 B,$217.70 B,$170.95 B,$136.33 B,$118.64 B,$96.72 B,$93.89 B
bank-of-america,$245.00 B,$265.70 B,$359.38 B,$262.20 B,$311.20 B,$238.25 B,$307.91 B,$223.32 B,$174.69 B,$188.14 B,$164.91 B,$125.13 B,$56.35 B,$134.53 B,$130.27 B,$70.64 B,$183.28 B,$238.77 B,$214.54 B,$190.48 B,$116.05 B,$104.40 B,$98.15 B
salesforce,$242.78 B,$132.58 B,$250.31 B,$204.22 B,$144.26 B,$104.78 B,$73.84 B,$47.69 B,$52.05 B,$37.42 B,$33.27 B,$23.87 B,$13.79 B,$17.34 B,$9.21 B,$3.90 B,$7.40 B,$4.13 B,$3.24 B,$1.71 B,,,
international-holding-company,$238.64 B,,,,,,,,,,,,,,,,,,,,,,
roche,$233.36 B,$259.55 B,$359.63 B,$299.20 B,$276.35 B,$210.64 B,$214.86 B,$195.74 B,$238.41 B,$231.65 B,$238.15 B,$315.46 B,$147.31 B,$127.44 B,$148.85 B,$135.33 B,$151.50 B,$154.53 B,,,,,
pepsico,$227.78 B,$248.89 B,$240.18 B,$204.94 B,$190.10 B,$155.66 B,$170.54 B,$150.05 B,$144.68 B,$140.70 B,$126.81 B,$105.65 B,$103.73 B,$103.28 B,$95.15 B,$85.06 B,$121.81 B,$102.45 B,$97.83 B,$87.64 B,$79.48 B,$72.70 B,$85.49 B
hermes-international,$224.06 B,$161.19 B,$182.03 B,$113.16 B,$77.76 B,$57.81 B,$55.50 B,$43.15 B,$35.58 B,$37.43 B,$37.88 B,$31.16 B,$31.50 B,$21.92 B,$14.05 B,$14.74 B,$13.33 B,$13.36 B,$9.09 B,$7.36 B,$7.13 B,,
icbc,$218.76 B,$211.12 B,$244.82 B,$262.02 B,$434.30 B,$399.83 B,$472.84 B,$332.88 B,$353.05 B,$404.02 B,$335.12 B,$361.25 B,$331.28 B,$362.73 B,$408.42 B,$263.07 B,$453.07 B,$355.88 B,,,,,
accenture,$211.82 B,$168.17 B,$261.99 B,$173.06 B,$133.91 B,$93.97 B,$97.45 B,$75.42 B,$68.02 B,$58.52 B,$54.82 B,$45.47 B,$36.99 B,$33.81 B,$26.24 B,$23.63 B,$27.17 B,$30.14 B,$24.57 B,$25.84 B,$24.74 B,$16.68 B,$25.19 B
shell,$210.08 B,$199.44 B,$89.76 B,$72.53 B,$131.04 B,$130.93 B,$153.21 B,$122.01 B,$90.22 B,$130.65 B,$139.03 B,$125.80 B,$97.26 B,$90.01 B,$81.02 B,$71.35 B,$116.16 B,$97.66 B,$84.83 B,$192.75 B,$175.98 B,$147.87 B,
mcdonald,$207.10 B,$193.01 B,$200.31 B,$159.88 B,$147.47 B,$136.21 B,$137.21 B,$101.08 B,$107.12 B,$90.22 B,$96.09 B,$88.44 B,$102.65 B,$80.87 B,$67.22 B,$69.31 B,$67.84 B,$53.36 B,$42.59 B,$40.71 B,$31.33 B,$20.39 B,$33.90 B
amd,$208.27 B,$104.43 B,$173.77 B,$110.42 B,$53.65 B,$18.55 B,$9.91 B,$10.51 B,$2.27 B,$2.07 B,$2.80 B,$1.71 B,$3.76 B,$5.58 B,$6.49 B,$1.31 B,$4.54 B,$11.13 B,$13.32 B,$8.62 B,$5.21 B,$2.22 B,$5.40 B
reliance-industries,$199.33 B,$208.29 B,$215.27 B,$183.56 B,$134.59 B,$101.64 B,$91.05 B,$46.97 B,$49.44 B,$45.48 B,$42.54 B,$50.15 B,$38.97 B,$70.35 B,$73.97 B,$37.28 B,$102.35 B,$40.18 B,,,,,
novartis,$198.87 B,$195.13 B,$196.46 B,$217.77 B,$214.83 B,$197.28 B,$197.18 B,$172.98 B,$208.46 B,$224.01 B,$194.64 B,$152.33 B,$138.09 B,$134.58 B,$125.03 B,$112.69 B,$122.98 B,$134.88 B,$122.58 B,$122.65 B,$113.24 B,$90.90 B,$93.00 B
netflix,$198.60 B,$131.22 B,$267.46 B,$238.89 B,$141.98 B,$116.85 B,$83.06 B,$53.12 B,$48.94 B,$20.63 B,$21.94 B,$5.14 B,$3.63 B,$9.27 B,$2.94 B,$1.75 B,$1.72 B,$1.77 B,$1.48 B,$0.65 B,$1.12 B,$0.22 B,
astrazeneca,$196.51 B,$210.38 B,$181.46 B,$130.98 B,$130.87 B,$94.42 B,$87.12 B,$68.96 B,$86.45 B,$89.56 B,$74.10 B,$58.62 B,$59.82 B,$65.08 B,$68.10 B,$59.39 B,$62.38 B,$82.03 B,$78.05 B,$59.82 B,$81.90 B,$60.30 B,$81.33 B
cisco,$196.59 B,$195.70 B,$267.26 B,$189.09 B,$203.45 B,$194.81 B,$189.34 B,$151.69 B,$137.84 B,$142.23 B,$119.92 B,$104.32 B,$97.19 B,$112.13 B,$137.71 B,$95.43 B,$164.23 B,$165.96 B,$105.16 B,$127.21 B,$167.26 B,$95.15 B,$132.83 B
linde,$194.57 B,$160.66 B,$177.56 B,$138.30 B,$113.76 B,$85.39 B,$44.28 B,$33.44 B,$29.17 B,$37.47 B,$38.24 B,$32.42 B,$32.04 B,$29.02 B,$24.61 B,$18.30 B,$27.78 B,$19.03 B,$17.07 B,$14.28 B,$12.45 B,$9.37 B,$8.95 B
thermo-fisher-scientific,$189.23 B,$215.97 B,$262.92 B,$184.60 B,$129.53 B,$89.99 B,$76.14 B,$55.73 B,$56.68 B,$50.17 B,$40.30 B,$22.79 B,$17.01 B,$21.66 B,$19.52 B,$14.31 B,$23.95 B,$18.86 B,$4.89 B,$4.84 B,$4.15 B,$3.27 B,$4.20 B
sap,$187.33 B,$120.69 B,$166.80 B,$157.41 B,$160.87 B,$118.69 B,$133.71 B,$104.89 B,$96.10 B,$84.67 B,$102.70 B,$95.68 B,$62.94 B,$60.18 B,$56.20 B,$43.17 B,$61.16 B,$64.69 B,$55.84 B,$54.93 B,$52.43 B,$24.29 B,$40.20 B
alibaba,$183.87 B,$233.22 B,$330.67 B,$648.31 B,$570.94 B,$352.53 B,$442.42 B,$219.52 B,$202.80 B,$258.53 B,,,,,,,,,,,,,
pinduoduo,$184.62 B,$103.11 B,$73.06 B,$217.88 B,$43.96 B,$24.99 B,,,,,,,,,,,,,,,,,
abbott-laboratories,$181.43 B,$191.42 B,$248.86 B,$194.05 B,$153.09 B,$126.98 B,$99.33 B,$56.55 B,$66.13 B,$67.89 B,$59.33 B,$103.27 B,$87.59 B,$74.11 B,$83.74 B,$82.80 B,$87.02 B,$74.87 B,$60.69 B,$72.77 B,$73.24 B,$62.81 B,$87.07 B
t-mobile-us,$180.87 B,$174.18 B,$144.86 B,$167.37 B,$67.19 B,$54.07 B,$52.83 B,$47.38 B,$32.01 B,$21.75 B,$26.97 B,$3.62 B,$3.14 B,$4.48 B,$2.69 B,$5.20 B,$6.77 B,,,,,,
intel,$180.02 B,$109.07 B,$209.60 B,$204.16 B,$256.75 B,$211.93 B,$216.02 B,$171.88 B,$162.77 B,$172.30 B,$128.91 B,$101.94 B,$123.48 B,$115.89 B,$112.66 B,$81.53 B,$154.30 B,$116.78 B,$147.73 B,$146.25 B,$207.90 B,$102.37 B,$210.40 B
nike,$176.40 B,$183.07 B,$263.55 B,$223.02 B,$157.94 B,$116.91 B,$101.58 B,$84.17 B,$106.68 B,$83.07 B,$69.83 B,$46.21 B,$44.22 B,$40.87 B,$32.20 B,$24.68 B,$31.94 B,$24.95 B,$22.50 B,$23.94 B,$18.01 B,$11.76 B,$15.07 B
china-mobile,$175.16 B,$145.01 B,$122.89 B,$117.13 B,$172.20 B,$197.01 B,$207.58 B,$217.03 B,$231.15 B,$238.46 B,$208.43 B,$234.03 B,$195.96 B,$199.05 B,$188.48 B,$201.90 B,$354.29 B,$172.98 B,$93.75 B,$66.70 B,$60.40 B,$46.91 B,$65.48 B
agricultural-bank-of-china,$170.20 B,$142.37 B,$157.86 B,$164.93 B,$182.19 B,$180.57 B,$186.74 B,$143.85 B,$159.13 B,$191.74 B,$135.62 B,$147.26 B,$135.36 B,$134.63 B,,,,,,,,,
walt-disney,$169.89 B,$158.43 B,$281.53 B,$328.02 B,$257.58 B,$164.47 B,$162.04 B,$165.86 B,$173.71 B,$160.12 B,$129.88 B,$89.62 B,$67.36 B,$71.02 B,$60.14 B,$41.99 B,$62.33 B,$69.74 B,$46.94 B,$56.80 B,$46.97 B,$32.83 B,$41.82 B
petro-china,$168.37 B,$124.98 B,$134.16 B,$109.54 B,$145.74 B,$182.90 B,$215.26 B,$201.06 B,$222.45 B,$306.11 B,$229.44 B,$264.69 B,$276.31 B,$302.37 B,$352.96 B,$273.18 B,$791.39 B,,,,,,
comcast,$169.45 B,$150.85 B,$229.95 B,$239.74 B,$204.74 B,$154.10 B,$187.18 B,$164.89 B,$137.55 B,$123.90 B,$111.35 B,$79.46 B,$49.72 B,$45.62 B,$34.86 B,$34.74 B,$37.58 B,$58.05 B,$35.40 B,$45.35 B,$44.58 B,$32.02 B,$0.89 B
