Company,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001
samsung,,$8.19 B,$15.45 B,$18.60 B,$15.92 B,$13.13 B,$17.64 B,$12.67 B,$10.95 B,$10.28 B,$10.58 B,$14.34 B,$12.63 B,$9.56 B,$8.16 B,$14.05 B,$15.66 B,$15.78 B,$16.40 B,,,,
procter-and-gamble,$34.60 B,$31.49 B,$31.98 B,$34.72 B,$30.09 B,$31.28 B,$31.59 B,$30.59 B,$30.35 B,$35.41 B,$31.54 B,$29.77 B,$32.01 B,$29.83 B,$36.97 B,$36.66 B,$35.41 B,$38.10 B,$24.32 B,$20.84 B,$13.64 B,$14.93 B,$12.02 B
home-depot,$50.36 B,$46.26 B,$43.42 B,$37.37 B,$29.20 B,$27.02 B,$23.60 B,$21.31 B,$17.19 B,$14.72 B,$10.79 B,$10.78 B,$9.74 B,$9.68 B,$11.43 B,$13.43 B,$11.66 B,$4.08 B,$2.15 B,$1.36 B,$1.32 B,$1.25 B,$1.54 B
oracle,$90.48 B,$75.85 B,$84.24 B,$71.59 B,$56.16 B,$60.61 B,$57.90 B,$43.85 B,$41.95 B,$24.17 B,$18.49 B,$16.47 B,$15.92 B,$14.65 B,$10.23 B,$11.23 B,$7.59 B,$5.89 B,$2.85 B,$0.17 B,$0.32 B,$0.29 B,$0.30 B
nestle,,$58.79 B,$50.97 B,$45.31 B,$38.36 B,$41.06 B,$27.18 B,$22.78 B,$21.48 B,$21.45 B,$24.50 B,$30.21 B,$23.77 B,$21.50 B,$22.63 B,$20.83 B,$27.09 B,$17.30 B,$19.23 B,$12.90 B,$12.46 B,,$0.56 B
kweichow-moutai,,$64.34 M,$62.89 M,,,,,,,$10.1 M,,,,,,,,,,,,,
asml,,$4.56 B,$4.61 B,$5.73 B,$3.48 B,$3.46 B,$3.60 B,$3.23 B,$1.23 B,$1.40 B,$1.47 B,$0.99 B,$0.94 B,$0.94 B,$0.95 B,$1.00 B,$0.88 B,$0.51 B,$0.45 B,$1.10 B,$1.08 B,$1.16 B,$1.65 B
adobe,,$4.63 B,$4.67 B,$4.70 B,$4.13 B,$4.12 B,$1.88 B,$1.90 B,$1.90 B,$1.51 B,$1.51 B,$1.50 B,$1.51 B,$1.52 B,$1.26 B,$0.35 B,,,,,,,
chevron,,$23.33 B,$31.36 B,$44.31 B,$26.97 B,$34.45 B,$38.76 B,$46.12 B,$38.59 B,$27.81 B,$20.43 B,$12.19 B,$10.15 B,$11.47 B,$10.51 B,$8.90 B,$7.23 B,$9.83 B,$12.87 B,$11.27 B,$12.59 B,$16.26 B,$17.41 B
costco,$8.88 B,$9.03 B,$10.13 B,$10.16 B,$6.82 B,$6.48 B,$6.65 B,$5.16 B,$6.14 B,$5.09 B,$4.99 B,$1.38 B,$2.15 B,$2.16 B,$2.30 B,$2.34 B,$2.22 B,$0.56 B,$0.76 B,$1.32 B,$1.33 B,$1.31 B,$1.05 B
abbvie,,$63.27 B,$76.68 B,$86.05 B,$66.72 B,$40.31 B,$37.36 B,$36.84 B,$31.67 B,$15.01 B,$14.72 B,$15.67 B,,,,,,,,,,,
merck,,$30.69 B,$33.10 B,$31.79 B,$26.34 B,$25.11 B,$24.41 B,$24.84 B,$26.51 B,$21.40 B,$25.06 B,$20.56 B,$17.51 B,$17.88 B,$17.45 B,$6.24 B,$5.73 B,$6.83 B,$8.09 B,$6.87 B,$6.79 B,$8.54 B,$8.86 B
l-oreal,,$6.05 B,$7.13 B,$3.13 B,$3.23 B,$1.42 B,$1.40 B,$1.33 B,$0.85 B,$3.14 B,$0.54 B,$0.32 B,$1.48 B,$2.11 B,$4.48 B,$6.67 B,$5.05 B,$5.43 B,$3.40 B,,$1.48 B,,
coca-cola,,$39.14 B,$42.76 B,$42.79 B,$42.76 B,$44.21 B,$47.68 B,$45.70 B,$44.11 B,$41.74 B,$37.07 B,$32.61 B,$28.56 B,$23.41 B,$11.85 B,$9.31 B,$9.32 B,$4.58 B,$5.70 B,$7.17 B,$5.42 B,$5.35 B,$5.11 B
toyota,$220.57 B,$217.14 B,$232.62 B,$190.24 B,$181.54 B,$181.98 B,$171.37 B,$162.79 B,$158.13 B,$158.68 B,$149.88 B,$144.87 B,$149.14 B,$133.80 B,$127.49 B,$121.69 B,$102.79 B,$88.46 B,$79.66 B,$71.57 B,$60.34 B,$50.18 B,$42.33 B
bank-of-america,,$302.91 B,$303.87 B,$282.25 B,$265.06 B,$249.52 B,$260.06 B,$240.76 B,$264.86 B,$274.31 B,$295.67 B,$306.31 B,$407.96 B,$508.39 B,$508.04 B,$426.34 B,$388.59 B,$287.30 B,$217.11 B,$176.67 B,$117.82 B,$92.41 B,$90.24 B
