Company,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001
honda,$57.54 B,$66.40 B,$69.99 B,$69.14 B,$66.04 B,$63.95 B,$60.91 B,$58.08 B,$56.58 B,$56.92 B,$51.91 B,$49.93 B,$49.61 B,$44.12 B,$46.97 B,$44.27 B,$33.80 B,$27.69 B,$26.99 B,$25.35 B,$19.87 B,$15.60 B,$12.67 B
simon-property,,$25.45 B,$25.82 B,$27.23 B,$24.68 B,$23.30 B,$24.63 B,$22.97 B,$22.50 B,$20.85 B,$23.58 B,$23.11 B,$18.44 B,$17.47 B,$18.63 B,$18.42 B,$17.21 B,$15.39 B,$14.10 B,$14.58 B,$10.26 B,$9.54 B,$8.84 B
universal-music-group,,$2.86 B,$3.50 B,$4.34 B,$0.68 B,$0.68 B,$21.6 M,,,,,,,,,,,,,,,,
dell,$29.58 B,$26.95 B,$47.98 B,$52.05 B,$53.52 B,$51.87 B,$49.39 B,$13.63 B,,,,,,,,,,,,,,,
reckitt-benckiser,,$10.76 B,$12.90 B,$14.38 B,$15.99 B,$15.07 B,$17.38 B,$2.95 B,$3.58 B,$4.00 B,$4.56 B,$5.29 B,$3.89 B,$4.08 B,$0.22 B,$2.30 B,$0.97 B,$1.92 B,$0.28 B,$0.47 B,$0.87 B,$0.65 B,
volvo,,$19.71 B,$16.74 B,$18.65 B,$16.67 B,$14.99 B,$15.59 B,$15.48 B,$15.69 B,$19.02 B,$21.03 B,$19.98 B,$19.66 B,$18.33 B,$22.16 B,$18.61 B,$16.77 B,$9.75 B,$9.40 B,$9.36 B,$10.28 B,$8.35 B,$7.94 B
anz-bank,$96.60 B,$87.27 B,$90.99 B,$93.23 B,$95.66 B,$100.44 B,$99.60 B,$102.15 B,$95.19 B,$96.10 B,$90.02 B,$91.59 B,$66.93 B,$69.82 B,$62.47 B,$64.66 B,$59.79 B,$45.77 B,$31.62 B,$23.66 B,$14.56 B,$11.90 B,$12.57 B
atlassian,$1.28 B,$1.31 B,$0.60 B,$1.15 B,$0.85 B,$0.81 B,$0.68 M,$0.76 M,$0.52 M,$0.31 M,,,,,,,,,,,,,
estee-lauder,$10.16 B,$7.64 B,$8.09 B,$8.78 B,$3.41 B,$3.54 B,$3.57 B,$2.24 B,$1.63 B,$1.34 B,$1.34 B,$1.28 B,$1.21 B,$1.22 B,$1.42 B,$1.19 B,$1.08 B,$0.52 B,$0.71 B,$0.53 B,$0.29 B,$0.41 B,$0.41 B
public-storage,,$6.87 B,$7.47 B,$2.54 B,$1.90 B,$1.41 B,$1.43 B,$0.39 B,$0.31 B,$64.36 M,$0.83 B,$0.46 B,$0.39 B,$0.56 B,$0.51 B,$0.64 B,$1.06 B,$1.50 B,$0.14 B,$0.14 B,$76.03 M,$0.11 B,$0.16 B
welltower,,$14.96 B,$14.67 B,$14.21 B,$15.38 B,$13.29 B,$11.73 B,$12.35 B,$12.96 B,$10.82 B,$10.65 B,$8.53 B,$7.24 B,$4.46 B,$2.41 B,$2.86 B,$2.70 B,$2.19 B,$1.50 B,$1.33 B,$1.01 B,$0.78 B,$0.49 B
aflac,,$7.44 B,$7.95 B,$7.89 B,$6.56 B,$5.77 B,$5.28 B,$5.36 B,$5.01 B,$5.28 B,$4.89 B,$4.35 B,$3.28 B,$3.03 B,$2.59 B,$1.72 B,$1.46 B,$1.42 B,$1.39 B,$1.42 B,$1.40 B,$1.31 B,$1.20 B
autodesk,$2.66 B,$3.06 B,$2.10 B,$2.54 B,$2.08 B,$1.58 B,$1.49 B,$1.48 B,$0.74 B,$0.74 B,$0.74 B,,,$0.12 B,$52.1 M,,,,,,,,
mediatek,,$0.51 B,$2.14 B,$0.86 B,$2.07 B,$1.74 B,$2.23 B,$1.69 B,$1.53 B,$1.50 B,$0.97 B,$0.30 B,$0.13 B,,,$N/A,$1.07 M,$N/A,,,,,
unicredit,,$123.65 B,$142.59 B,$164.92 B,$141.31 B,$125.00 B,$165.07 B,$163.04 B,$176.47 B,$214.27 B,$261.42 B,$266.40 B,$257.60 B,$365.78 B,$356.99 B,$402.99 B,$454.29 B,$330.59 B,$229.16 B,$8.87 B,$7.96 B,,
xiaomi,,$3.81 B,$4.81 B,$2.83 B,$2.66 B,$1.58 B,$1.66 B,$0.60 B,$0.50 B,,,,,,,,,,,,,,
carrier,,$9.37 B,$10.22 B,$11.03 B,$0.68 B,$N/A,,,,,,,,,,,,,,,,,
metlife,,$17.98 B,$17.43 B,$18.14 B,$16.85 B,$16.24 B,$19.30 B,$19.91 B,$21.31 B,$19.57 B,$22.02 B,$22.35 B,$32.21 B,$36.38 B,$22.62 B,$21.27 B,$14.76 B,$15.20 B,$13.43 B,$8.85 B,$9.34 B,$5.58 B,$3.98 B
banco-santander-brasil,,$23.96 B,$17.71 B,$13.48 B,$20.88 B,$24.33 B,$23.94 B,$33.38 B,$28.48 B,$31.80 B,$31.45 B,$32.23 B,$26.57 B,$12.08 B,$6.56 B,$10.98 B,$6.59 B,$1.17 B,,,,,
microchip-technology,$6.43 B,$7.68 B,$8.90 B,$9.48 B,$10.30 B,$3.06 B,$2.95 B,$2.48 B,$1.82 B,$1.02 B,$0.98 B,$0.35 B,$0.40 B,$0.39 B,$1.21 B,$1.15 B,,$0.26 B,$45.45 M,,,,
general-motors,,$114.69 B,$109.37 B,$110.86 B,$103.32 B,$104.95 B,$94.21 B,$84.62 B,$63.11 B,$46.84 B,$36.18 B,$16.05 B,$13.33 B,$10.75 B,$15.78 B,$45.93 B,,,,,,,
japan-tobacco,,$7.32 B,$7.98 B,$9.29 B,$8.95 B,$8.86 B,$6.61 B,$4.68 B,$2.04 B,$3.51 B,$3.33 B,$5.93 B,$8.52 B,$9.34 B,$10.06 B,$13.91 B,$1.86 B,$1.83 B,$2.15 B,$3.65 B,$3.59 B,$3.83 B,
aig,,$27.17 B,$30.16 B,$37.53 B,$35.35 B,$34.54 B,$31.64 B,$30.91 B,$29.35 B,$31.21 B,$41.69 B,$48.50 B,$75.25 B,$106.46 B,$141.47 B,$193.20 B,$176.04 B,$138.38 B,$108.45 B,$93.77 B,$77.27 B,$71.88 B,$65.73 B
sempra-energy,,$28.91 B,$24.64 B,$24.20 B,$25.81 B,$25.36 B,$19.41 B,$17.12 B,$14.66 B,$14.36 B,$12.94 B,$12.89 B,$10.86 B,$9.48 B,$8.65 B,$7.45 B,$5.62 B,$5.45 B,$5.88 B,$4.99 B,$5.30 B,$4.93 B,$4.55 B
fomento-economico-mexicano,,$14.43 B,$12.06 B,$12.15 B,$8.80 B,$8.89 B,$6.33 B,$6.30 B,$5.31 B,$5.60 B,$5.80 B,$2.82 B,$2.06 B,$2.01 B,$3.33 B,$3.12 B,$3.67 B,$3.71 B,$3.25 B,$4.12 B,$3.42 B,$0.79 B,$0.47 B
dr-horton,$5.09 B,$6.06 B,$5.41 B,$4.28 B,$3.39 B,$3.20 B,$2.87 B,$3.27 B,$3.81 B,$3.68 B,$3.50 B,$2.49 B,$1.70 B,$2.17 B,$3.27 B,$3.74 B,$4.37 B,$6.07 B,$4.90 B,$3.49 B,$2.96 B,$2.87 B,$1.88 B
truist-financial,,$66.62 B,$41.20 B,$45.68 B,$59.55 B,$28.88 B,$28.58 B,$23.37 B,$27.36 B,$27.02 B,$25.63 B,$19.11 B,$21.80 B,$21.73 B,$21.37 B,$24.51 B,$25.60 B,$19.94 B,$13.11 B,$12.72 B,$18.14 B,$18.98 B,$18.37 B
crh,,$10.95 B,$12.15 B,$13.85 B,$13.20 B,$12.19 B,$11.48 B,$8.62 B,$11.02 B,$8.67 B,$10.56 B,$8.59 B,$8.36 B,$9.77 B,$11.27 B,$14.49 B,$13.85 B,$10.39 B,$7.14 B,$6.91 B,$5.70 B,$3.66 B,$3.22 B
autozone,$2.91 B,$2.83 B,$2.63 B,$2.47 B,$5.26 B,$5.05 B,$5.12 B,$4.96 B,$4.66 B,$4.38 B,$4.21 B,$3.79 B,$3.35 B,$2.93 B,$2.72 B,$2.26 B,$1.95 B,$1.85 B,$1.86 B,$1.86 B,$1.54 B,$1.19 B,$1.22 B
copart,$0.12 B,$0.11 B,$0.51 B,$0.51 B,$0.40 B,$0.39 B,$0.63 B,$0.64 B,$0.64 B,$0.30 B,$0.38 B,$0.44 B,$0.37 B,,,$17.5 M,,,,$0.01 M,$0.1 M,$0.4 M,$0.71 M
newmont,,$6.13 B,$6.30 B,$6.70 B,$6.83 B,$4.26 B,$4.06 B,$4.61 B,$6.23 B,$6.64 B,$6.74 B,$6.29 B,$4.62 B,$4.44 B,$4.80 B,$3.54 B,$2.93 B,$1.91 B,$1.92 B,$1.59 B,$1.07 B,$1.81 B,$1.28 B
ambev,,$0.72 B,$0.55 B,$0.92 B,$0.76 B,$0.62 B,$0.77 B,$1.65 B,$0.91 B,$1.02 B,$1.22 B,$1.53 B,$2.20 B,$4.88 B,$4.55 B,$4.59 B,$5.57 B,$4.47 B,$3.34 B,$1.58 B,$2.06 B,$0.91 B,$0.92 B
sika,,$4.21 B,$4.01 B,$4.70 B,$4.51 B,$3.05 B,$0.74 B,$0.70 B,$0.96 B,$0.96 B,$1.41 B,$1.21 B,$0.84 B,$1.14 B,$1.03 B,$0.74 B,$0.69 B,$0.66 B,$0.41 B,$0.15 B,$18.68 M,$0.22 B,
marvell,$4.49 B,$4.54 B,$1.19 B,$1.43 B,$1.73 B,,,,,,,,$0.51 M,$2.45 M,$4.23 M,$0.39 B,$0.42 B,$41.01 M,$24.79 M,$30.69 M,$18.77 M,$11.05 M,$0.03 M
paychex,$0.86 B,$0.88 B,$0.89 B,$0.89 B,$0.79 B,,,,,,,,,$3.47 B,$90.24 M,,,,,,,,
keurig-dr-pepper,,$11.96 B,$11.88 B,$13.48 B,$14.42 B,$15.99 B,$4.47 B,$4.47 B,$3.38 B,$2.59 B,$2.57 B,$2.80 B,$2.70 B,$2.09 B,$2.96 B,$3.52 B,$3.03 B,$3.79 B,$2.85 B,$3.46 B,,,
foxconn,,$31.78 B,$31.51 B,$26.65 B,$21.82 B,$25.09 B,$20.85 B,$11.27 B,$7.79 B,$12.56 B,$17.27 B,$14.17 B,$13.05 B,$10.24 B,$4.47 B,$3.39 B,$4.11 B,$2.12 B,$1.28 B,$1.65 B,$1.01 B,,
energy-transfer-partners,,$49.05 B,$49.83 B,$52.25 B,$51.92 B,$43.37 B,$43.67 B,$42.85 B,$36.83 B,$29.65 B,$23.19 B,$21.44 B,$11.37 B,$9.38 B,$7.79 B,$7.23 B,$5.24 B,$3.24 B,$2.33 B,$1.10 B,,,
kraft-heinz,,$20.07 B,$21.81 B,$28.30 B,$29.24 B,$31.28 B,$31.53 B,$32.40 B,$25.15 B,$10.03 B,$9.97 B,$9.97 B,$35 M,,,,,,,,,,
compass-group,,$5.44 B,$6.01 B,$6.07 B,$4.75 B,$5.76 B,$5.30 B,$4.40 B,$4.44 B,$4.58 B,$3.66 B,$2.87 B,$3.05 B,$2.12 B,$2.56 B,$2.84 B,$3.27 B,$3.68 B,$4.81 B,$4.78 B,$4.48 B,$3.89 B,$3.86 B
denso,$6.67 B,$8.12 B,$7.74 B,$4.30 B,$4.95 B,$4.45 B,$3.13 B,$4.24 B,$3.72 B,$4.23 B,$5.38 B,$6.31 B,$4.80 B,$4.37 B,$3.60 B,$2.11 B,$2.43 B,$2.25 B,$1.91 B,$1.69 B,$1.58 B,$1.40 B,$0.23 B
hcl-technologies,$0.58 B,$0.83 B,$12.05 M,$1.05 B,$8.69 M,$1.31 M,$1.4 M,,$1.59 M,$2.82 M,$2.94 M,$4.95 M,$10.9 M,$12.64 M,$13.17 M,$0.29 M,$0.46 M,$0.27 M,$0.98 M,$0.85 M,,,
capital-one,,$47.83 B,$42.26 B,$39.87 B,$55.38 B,$58.55 B,$59.70 B,$59.46 B,$58.13 B,$47.57 B,$39.73 B,$48.66 B,$38.09 B,$40.27 B,$21.01 B,$22.34 B,$36.61 B,$30.24 B,$22.27 B,$16.51 B,$14.81 B,$11.93 B,$9.33 B
ross-stores,$5.70 B,$5.62 B,$5.73 B,$3.48 B,$0.31 B,$0.39 B,$0.39 B,$0.39 B,$0.39 B,$0.15 B,$0.15 B,$0.15 B,$0.15 B,$0.15 B,$0.15 B,$0.15 B,$0.15 B,$50 M,$50 M,$50 M,$25 M,,$64 M
pacific-gas-and-electric,,$53.53 B,$41.54 B,$42.60 B,$3.78 B,$21.99 B,$19.12 B,$18.43 B,$17.20 B,$15.68 B,$14.78 B,$13.40 B,$13.88 B,$13.39 B,$12.76 B,$11.79 B,$10.62 B,$10.30 B,$10.41 B,$9.25 B,$4.78 B,$15.92 B,$15.39 B
takeda-pharmaceutical,$32.90 B,$35.61 B,$42.02 B,$47.14 B,$51.81 B,$9.27 B,$10.24 B,$6.83 B,$6.07 B,$8.35 B,$5.91 B,$6.78 B,$0.19 B,$0.20 B,$0.19 B,$58.39 M,$98.64 M,$0.10 B,$0.17 B,$0.14 B,$0.10 B,$89.54 M,$0.12 B
hilton-hotels,,$9.69 B,$9.77 B,$11.62 B,$9.16 B,$7.28 B,$6.60 B,$10.81 B,$10.54 B,$11.69 B,$12.72 B,$15.99 B,$16.79 B,,,,,,,,,,
kotak-mahindra-bank,$6.94 B,$7.70 B,$6.82 B,$8.78 B,$9.60 B,$9.01 B,$7.79 B,$6.51 B,$4.89 B,$4.27 B,$5.21 B,$5.73 B,$4.94 B,$3.09 B,$2.29 B,$3.33 B,$2.41 B,$1.36 B,$0.87 B,,,,
mizuho-financial-group,$147.15 B,$171.24 B,$196.15 B,$158.87 B,$140.10 B,$146.91 B,$144.42 B,$158.44 B,$163.78 B,$209.35 B,$211.25 B,$246.74 B,$333.47 B,$239.84 B,$257.48 B,$195.71 B,$172.62 B,$193.31 B,$119.34 B,$129.18 B,$132.36 B,,
foxconn-industrial-internet,,$8.74 B,$9.13 B,$6.78 B,$4.04 B,$3.27 B,$1.06 B,$0.23 B,$0.17 B,,,,,,,,,,,,,,
pernod-ricard,,$11.67 B,$11.41 B,$11.71 B,$8.58 B,$8.98 B,$9.77 B,$10.41 B,$10.67 B,$12.13 B,$12.07 B,$10.17 B,$6.86 B,$4.68 B,,,,,$2.80 B,,,,
ford,,$140.47 B,$139.48 B,$162.99 B,$156.72 B,$154.21 B,$154.28 B,$142.97 B,$132.85 B,$119.17 B,$114.68 B,$105.05 B,$99.48 B,$103.98 B,$133.08 B,$154.68 B,$168.53 B,$172.04 B,$154.33 B,$172.97 B,$179.80 B,$162.22 B,$167.33 B
basf,,$22.43 B,$21.67 B,$26.06 B,$22.83 B,$24.52 B,$22.39 B,$17.78 B,$17.35 B,$19.95 B,$20.01 B,$17.76 B,$16.85 B,$20.08 B,$21.34 B,$20.40 B,$14.89 B,$12.53 B,$4.65 B,$3.42 B,$4.40 B,$3.89 B,$3.05 B
idexx-laboratories,,$1.34 B,$0.92 B,$0.90 B,$0.98 B,$1.00 B,$1.26 B,$1.20 B,$1.17 B,$0.89 B,$0.42 B,$0.21 B,$0.24 B,$0.13 B,$0.12 B,$0.15 B,$78.68 M,$7.12 M,$0.55 M,$1.68 M,$1.28 M,$0.97 M,$8.38 M
stmicroelectronics,,$2.57 B,$2.53 B,$2.61 B,$2.07 B,$1.90 B,$1.69 B,$1.45 B,$1.61 B,$1.80 B,$1.15 B,$1.30 B,$1.56 B,$1.77 B,$2.49 B,$2.69 B,$2.22 B,$2.13 B,$1.80 B,$1.95 B,$3.09 B,$2.96 B,$2.90 B
constellation-brands,$12.46 B,$10.41 B,$10.44 B,$12.18 B,$13.61 B,$10.18 B,$9.23 B,$8.08 B,$7.34 B,$7.02 B,$3.30 B,$3.12 B,$3.23 B,$3.83 B,$4.43 B,$5.25 B,$4.18 B,$2.80 B,$3.28 B,$2.04 B,$1.26 B,$1.42 B,$1.36 B
macquarie,$164.47 B,$9.26 B,$125.69 B,$97.12 B,$87.25 B,$92.87 B,$89.32 B,$94.85 B,$102.23 B,$104.26 B,$96.58 B,$131.49 B,$55.94 B,$49.86 B,$40.93 B,$5.74 B,$17.53 B,$11.91 B,$9.09 B,$8.27 B,$6.70 B,$6.28 B,$5.34 B
williams-companies,,$22.90 B,$23.67 B,$22.34 B,$22.28 B,$22.41 B,$20.93 B,$23.50 B,$24.48 B,$21.69 B,$11.57 B,$10.73 B,$8.72 B,$9.10 B,$8.27 B,$7.87 B,$7.90 B,$8.01 B,$7.71 B,$7.96 B,$11.97 B,$13.91 B,$11.96 B
lafargeholcim,,$16.13 B,$18.17 B,$15.60 B,$14.62 B,$16.25 B,$18.99 B,$19.25 B,$21.94 B,$11.92 B,$13.19 B,$14.72 B,$15.45 B,$15.78 B,$17.70 B,$17.88 B,$14.35 B,$13.20 B,$12.20 B,$9.27 B,$8.74 B,$13.25 B,
daikin,$6.66 B,$6.75 B,$6.81 B,$5.12 B,$5.27 B,$5.21 B,$5.45 B,$5.41 B,$5.51 B,$6.74 B,$7.48 B,$4.70 B,$4.47 B,$4.26 B,$4.22 B,$3.66 B,$4.06 B,$1.54 B,$1.62 B,$1.51 B,$1.29 B,$1.29 B,$1.34 B
engie,,$43.47 B,$46.48 B,$46.66 B,$43.17 B,$35.68 B,$38.89 B,$37.31 B,$41.02 B,$44.82 B,$53.49 B,$72.29 B,$73.33 B,$62.83 B,$60.56 B,$54.30 B,$31.61 B,$7.14 B,$5.30 B,$6.53 B,$9.40 B,$6.55 B,
hikvision,,$1.74 B,$1.29 B,$1.45 B,$1.04 B,$1.03 B,$0.80 B,$0.68 B,$0.32 B,$98.04 M,$30.37 M,$0.48 M,$0.47 M,$4.38 M,$8.25 M,,$6.16 M,,,,,,
ocbc-bank,,$16.91 B,$15.41 B,$18.92 B,$22.29 B,$22.39 B,$24.43 B,$14.05 B,$16.77 B,$22.07 B,$21.33 B,$9.77 B,$10.07 B,$5.32 B,$4.88 B,$4.20 B,$3.45 B,,,,,,
square,,$4.94 B,$5.51 B,$3.49 B,$1.07 B,$1.04 B,$0.35 B,,,$30 M,,,,,,,,,,,,,
zijin-mining,,$17.86 B,$12.13 B,$11.35 B,$6.62 B,$6.85 B,$5.35 B,$5.56 B,$4.47 B,$3.57 B,$2.73 B,$2.65 B,$1.49 B,$1.12 B,$0.59 B,$0.51 B,$0.88 B,$0.52 B,$0.16 B,$38.59 M,,,
jingdong-mall,,$9.43 B,$5.35 B,$4.83 B,$2.68 B,$2.09 B,$3.65 B,$4.12 B,$0.98 B,$0.30 B,$0.15 B,$0.13 B,,,,,,,,,,,
valero,,$2.39 B,$1.92 B,$15.84 B,$10.96 B,$9.10 B,$8.87 B,$8.00 B,$7.37 B,$6.38 B,$6.56 B,$7.04 B,$7.74 B,$8.33 B,$7.40 B,$6.57 B,$6.86 B,$5.13 B,$5.37 B,$4.31 B,$4.24 B,$4.97 B,$3.31 B
axis-bank,$25.11 B,$23.95 B,$18.26 B,$19.03 B,$21.15 B,$22.98 B,$17.35 B,$15.74 B,$13.50 B,$8.76 B,$8.12 B,$6.67 B,$5.88 B,$3.83 B,$3.05 B,$1.40 B,$2.01 B,$1.00 B,$0.58 B,$0.26 B,,,
gazprom,,$72.40 B,$69.33 B,$69.24 B,$66.34 B,$55.57 B,$56.70 B,$46.21 B,$47.00 B,$47.53 B,$55.13 B,$49.43 B,$48.14 B,$43.05 B,$54.19 B,$44.73 B,$61.48 B,$29.12 B,$33.04 B,$22.22 B,,,
cheniere-energy,,$27.94 B,$31.94 B,$31.65 B,$31.25 B,$28.47 B,$25.33 B,$21.93 B,$16.80 B,$9.80 B,$6.57 B,$2.16 B,$2.47 B,$2.92 B,$3.04 B,$3.16 B,$2.75 B,$2.35 B,$0.91 B,,$1 M,$0.75 M,
american-electric-power,,$40.40 B,$36.65 B,$34.43 B,$30.53 B,$25.25 B,$22.81 B,$21.96 B,$20.37 B,$20.03 B,$19.13 B,$18.73 B,$18.16 B,$18.15 B,$17.62 B,$17.95 B,$15.65 B,$13.71 B,$12.23 B,$12.31 B,$14.42 B,$14.14 B,$15.20 B
digital-realty,,$18.06 B,$14.96 B,$14.77 B,$10.81 B,$11.10 B,$8.64 B,$5.83 B,$5.93 B,$4.67 B,$4.96 B,$4.27 B,$2.94 B,$2.80 B,$1.78 B,$1.39 B,$1.36 B,$1.12 B,$0.74 B,$0.51 B,$0.29 B,$53 M,
the-travelers-companies,,$7.29 B,$7.29 B,$6.55 B,$6.55 B,$6.56 B,$6.57 B,$6.43 B,$6.34 B,$6.34 B,$6.34 B,$6.35 B,$6.60 B,$6.61 B,$6.52 B,$5.93 B,$6.24 B,$5.76 B,$5.85 B,$6.62 B,$3.75 B,$2.71 B,$2.13 B
edwards-lifesciences,,$0.69 B,$0.69 B,$0.69 B,$0.67 B,$0.59 B,$1.03 B,$0.82 B,$0.59 B,$0.59 B,$0.59 B,$0.18 B,$0.15 B,$41.8 M,$90.3 M,$0.17 B,$0.21 B,$0.23 B,$0.31 B,$0.26 B,$0.25 B,$0.24 B,$0.31 B
credit-agricole,,$254.59 B,$225.73 B,$231.67 B,$251.22 B,$237.07 B,$257.55 B,$225.36 B,$232.57 B,$275.00 B,$285.52 B,$279.68 B,$236.00 B,$277.76 B,$312.11 B,$310.47 B,$292.78 B,$247.58 B,$141.06 B,$162.10 B,$137.47 B,,
te-connectivity,$4.21 B,$4.20 B,$4.09 B,$4.14 B,$3.96 B,$4.00 B,$4.34 B,$4.07 B,$3.90 B,$3.94 B,$3.01 B,$3.71 B,$2.66 B,$2.41 B,$2.41 B,$3.18 B,$3.37 B,$3.66 B,,,$6.50 B,$5.94 B,
seattle-genetics,,$43.47 M,$56.66 M,$74.63 M,$77.05 M,,,,,,,,,,,,,,,,,,
old-dominion-freight-line,,$99.96 M,$99.94 M,$99.93 M,$45 M,$45 M,$95 M,$0.10 B,$0.13 B,$0.15 B,$0.19 B,$0.24 B,$0.26 B,$0.27 B,$0.30 B,$0.25 B,$0.26 B,$0.27 B,$0.12 B,$79.45 M,$97.42 M,$93.22 M,$98.42 M
danone,,$15.16 B,$18.35 B,$19.72 B,$18.89 B,$19.78 B,$22.51 B,$21.64 B,$11.16 B,$10.42 B,$11.97 B,$8.22 B,$6.86 B,$12.60 B,$10.97 B,$16.89 B,$17.96 B,$8.09 B,$6.83 B,$5.65 B,$6.55 B,$6.28 B,$6.62 B
bae-systems,,$8.31 B,$8.57 B,$9.10 B,$6.23 B,$5.45 B,$5.51 B,$5.46 B,$5.94 B,$5.21 B,$4.82 B,$4.82 B,$4.96 B,$4.71 B,$5.32 B,$5.16 B,$5.15 B,$6.29 B,$7.63 B,$5.88 B,$4.52 B,$3.74 B,$4.23 B
bayan-resources,,$N/A,$N/A,$0.40 B,$0.36 B,$0.12 B,$99.22 M,$0.48 B,$0.53 B,$0.57 B,$0.67 B,$0.64 B,$0.39 B,$0.26 B,$0.24 B,$0.23 B,,,,,,,
industrial-bank,,$209.45 B,$204.47 B,$172.88 B,$156.23 B,$136.49 B,$130.79 B,$121.54 B,$80.00 B,$43.09 B,$24.15 B,$25.23 B,$21.28 B,$13.77 B,$10.34 B,$11.39 B,$8.35 B,$5.34 B,$2.03 B,$0.83 B,$0.50 B,,
citic-securities,,$26.23 B,$40.22 B,$30.97 B,$27.00 B,$23.42 B,$24.08 B,$16.71 B,$17.18 B,$12.90 B,$7.59 B,$0.83 B,$0.25 B,$0.24 B,$0.23 B,$0.28 B,$0.28 B,$0.26 B,$57.4 M,$56.06 M,,$1.23 M,
nordea-bank,,$203.78 B,$207.99 B,$224.45 B,$229.38 B,$228.31 B,$225.81 B,$212.86 B,$230.85 B,$245.93 B,$304.59 B,$278.77 B,$261.71 B,$228.59 B,$204.73 B,$168.67 B,$162.66 B,$125.72 B,$106.86 B,$7.89 B,$6.43 B,$6.59 B,
hess,,$9.15 B,$9.14 B,$9.07 B,$7.93 B,$6.67 B,$6.97 B,$6.80 B,$6.63 B,$5.98 B,$5.79 B,$8.11 B,$6.05 B,$5.58 B,$4.46 B,$3.95 B,$3.98 B,$3.77 B,$3.78 B,$3.83 B,$3.94 B,$4.99 B,$5.66 B
kimberly-clark,,$8.42 B,$8.57 B,$8.36 B,$7.74 B,$7.45 B,$7.42 B,$7.57 B,$7.77 B,$6.95 B,$5.76 B,$6.18 B,$6.13 B,$5.46 B,$5.40 B,$5.96 B,$5.49 B,$3.60 B,$3.81 B,$3.51 B,$3.59 B,$3.93 B,$3.66 B
jiangsu-hengrui-medicine,,$0.19 B,$23.78 M,,,,,,$1.54 M,$1.61 M,$3.3 M,$1.6 M,$3.18 M,$3.02 M,$1.46 M,,$8.22 M,$6.14 M,$5.94 M,$11.97 M,$45.97 M,$30.98 M,$30.43 M
hoya,$0.18 B,$0.17 B,$0.18 B,$0.20 B,$25.56 M,$22.12 M,$0.33 B,$0.33 B,$0.31 B,$0.61 B,$0.66 B,$1.23 B,$1.24 B,$1.12 B,$1.61 B,$1.34 B,,$N/A,$1.82 M,$4.67 M,$19.42 M,$29.61 M,$39.91 M
hong-kong-exchanges-and-clearing,,$0.22 B,$0.26 B,$0.35 B,$0.37 B,$0.14 B,$0.23 B,$0.40 B,$0.40 B,$0.87 B,$0.86 B,$0.85 B,,,,,,,,$N/A,,,
nucor,,$6.69 B,$5.68 B,$5.34 B,$4.38 B,$4.29 B,$3.79 B,$4.35 B,$4.41 B,$4.58 B,$4.40 B,$3.66 B,$4.28 B,$4.29 B,$3.08 B,$3.27 B,$2.27 B,$0.92 B,$0.92 B,$0.92 B,$0.90 B,$0.89 B,$0.46 B
wesfarmers,$7.39 B,$8.31 B,$7.60 B,$6.80 B,$2.12 B,$3.05 B,$4.16 B,$5.45 B,$5.00 B,$4.76 B,$5.27 B,$5.63 B,$5.21 B,$4.50 B,$4.97 B,$9.11 B,$4.40 B,$1.14 B,$1.17 B,$1.05 B,$0.69 B,$0.97 B,$0.74 B
adyen,,$0.21 B,$0.16 B,$0.16 B,$69.11 M,,,,,,,,,,,,,,,,,,
ww-grainger,,$2.70 B,$2.76 B,$2.39 B,$2.21 B,$2.22 B,$2.34 B,$2.24 B,$1.93 B,$0.48 B,$0.54 B,$0.56 B,$0.51 B,$0.50 B,$0.52 B,$0.52 B,$0.11 B,$9.48 M,$9.48 M,$9.48 M,$0.14 B,$0.12 B,$0.13 B
cencora,$4.78 B,$5.70 B,$6.68 B,$4.11 B,$4.17 B,$4.15 B,$3.42 B,$3.59 B,$3.49 B,$1.99 B,$1.39 B,$1.44 B,$1.36 B,$1.34 B,$1.17 B,$1.18 B,$1.22 B,$1.09 B,$0.95 B,$1.43 B,$1.78 B,$1.81 B,$1.59 B
msci,,$4.64 B,$4.31 B,$3.51 B,$3.23 B,$2.57 B,$2.07 B,$2.07 B,$1.57 B,$0.80 B,$0.80 B,$0.85 B,$1.07 B,$1.26 B,$0.37 B,$0.40 B,$0.42 B,,,,,,
maruti-suzuki-india,$0.15 B,$56.11 M,$73.64 M,$24.41 M,$22.98 M,$18.55 M,$74.64 M,$58.95 M,$0.10 B,$0.33 B,$0.28 B,$0.24 B,$0.12 B,$0.20 B,$0.14 B,$0.22 B,$0.15 B,$0.15 B,$76.67 M,$76.56 M,,,
kenvue,,$0.11 B,,,,,,,,,,,,,,,,,,,,,
qnb-qatar-national-bank,,$16.84 B,$18.36 B,$19.54 B,$16.38 B,$14.00 B,$13.95 B,$14.44 B,$8.64 B,$9.42 B,$9.38 B,$5.36 B,$3.83 B,$3.93 B,$2.41 B,$1.84 B,$1.84 B,,,,,,
