Company,2023 (TTM),2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001
crh,$48.73 B,$42.23 B,$31.36 B,$21.21 B,$21.24 B,$16.10 B,$11.67 B,$9.93 B,,,,,,,,,,,,,,,
autozone,$17.56 B,$15.14 B,$12.99 B,$11.77 B,$11.27 B,$11.00 B,$10.71 B,$10.31 B,$9.64 B,$9.25 B,$8.67 B,$8.20 B,$7.56 B,$6.92 B,$6.54 B,$6.23 B,$6.00 B,$5.76 B,$5.64 B,$5.52 B,$5.36 B,$4.93 B,
copart,$3.99 B,$3.58 B,$2.90 B,$2.24 B,$2.13 B,$1.84 B,$1.52 B,$1.32 B,$1.14 B,$1.17 B,$1.08 B,$0.93 B,$0.88 B,$0.80 B,$0.73 B,$0.79 B,$0.61 B,$0.54 B,$0.47 B,$0.41 B,$0.35 B,$0.32 B,$0.26 B
newmont,$11.05 B,$11.91 B,$12.22 B,$11.49 B,$9.74 B,$7.25 B,$7.34 B,$7.65 B,$7.72 B,$7.29 B,$8.32 B,$9.86 B,$10.35 B,$9.54 B,$7.72 B,$6.19 B,$5.52 B,$5.02 B,$4.41 B,$4.53 B,$3.33 B,$2.67 B,$1.65 B
ambev,$16.29 B,$15.44 B,$13.42 B,$10.92 B,$13.20 B,$13.35 B,$14.81 B,$13.68 B,$13.03 B,$15.87 B,$15.76 B,$16.28 B,$15.71 B,$14.60 B,$12.11 B,$10.93 B,$10.50 B,$8.16 B,$5.44 B,$3.02 B,$2.70 B,$1.48 B,$1.32 B
sika,$11.35 B,$10.12 B,$8.93 B,$8.37 B,$7.20 B,$6.41 B,$5.64 B,$5.55 B,$5.63 B,$5.79 B,$5.29 B,$4.86 B,$4.73 B,$4.02 B,$4.44 B,$4.04 B,$3.20 B,$2.22 B,$2.24 B,$1.83 B,$2.43 B,,
marvell,$5.49 B,$5.84 B,$3.91 B,$2.88 B,$2.72 B,$2.73 B,$2.37 B,$2.43 B,$2.96 B,$3.78 B,$3.24 B,$3.13 B,$3.55 B,$3.55 B,$2.47 B,$3.28 B,$2.67 B,$2.10 B,$1.52 B,$1.12 B,$0.72 B,$0.43 B,$0.25 B
paychex,$5.08 B,$4.81 B,$4.33 B,$3.97 B,$4.03 B,$3.45 B,$3.23 B,$3.06 B,$2.84 B,$2.61 B,$2.39 B,$2.24 B,$2.12 B,$2.00 B,$1.91 B,$2.10 B,$1.98 B,$1.78 B,$1.55 B,$1.36 B,$1.14 B,$1.00 B,$0.92 B
keurig-dr-pepper,$14.75 B,$14.05 B,$12.68 B,$11.61 B,$11.12 B,$9.02 B,$6.69 B,$6.44 B,$6.28 B,$6.12 B,$5.99 B,$5.99 B,$5.90 B,$5.63 B,$5.53 B,$5.71 B,$5.74 B,$4.73 B,,,,,
foxconn,$202.01 B,$219.50 B,$214.71 B,$185.58 B,$174.35 B,$175.36 B,$156.52 B,$135.60 B,$140.25 B,$140.12 B,$134.41 B,$132.93 B,$116.75 B,$97.38 B,$60.28 B,$61.66 B,$52.39 B,,,,,,
energy-transfer-partners,$78.55 B,$89.87 B,$67.41 B,$38.95 B,$54.21 B,$54.08 B,$41.10 B,$37.79 B,$42.12 B,$55.69 B,$48.33 B,$17.14 B,$8.24 B,$6.60 B,$5.41 B,$9.29 B,$7.03 B,$6.83 B,$7.72 B,,,,
kraft-heinz,$27.16 B,$26.48 B,$26.04 B,$26.18 B,$24.97 B,$26.25 B,$26.19 B,$26.48 B,$22.11 B,$18.20 B,$18.27 B,$18.33 B,$18.65 B,,,,,,,,,,
compass-group,$28.49 B,$24.04 B,$25.65 B,$30.58 B,$29.94 B,$30.22 B,$25.41 B,$26.66 B,$27.70 B,$28.38 B,$27.25 B,$24.69 B,$22.85 B,$21.51 B,$20.38 B,$20.99 B,$19.37 B,$17.77 B,$21.34 B,$19.39 B,$13.41 B,$11.01 B,
denso,$49.47 B,$46.16 B,$48.57 B,$45.05 B,$48.39 B,$48.92 B,$43.77 B,$41.32 B,$37.44 B,$39.27 B,$40.69 B,$43.03 B,$37.71 B,$37.08 B,$28.01 B,,,,,,,,
hcl-technologies,$9.38 B,$0.15 B,$0.15 B,$0.12 B,$0.13 B,$0.12 B,$0.12 B,,,,,,,,,,,,,,,,
emirates-telecom-etisalat-group,,,,,,,,,,,,,,,,,,,,,,,
capital-one,$36.32 B,$34.25 B,$30.43 B,$28.45 B,$28.59 B,$28.00 B,$27.23 B,$25.50 B,$23.41 B,$22.29 B,$22.38 B,$21.43 B,$16.27 B,$16.16 B,$12.97 B,$13.83 B,$14.58 B,$12.09 B,$10.03 B,$8.90 B,$8.20 B,$8.10 B,$6.08 B
ross-stores,$19.56 B,$18.50 B,$18.14 B,$12.69 B,$15.73 B,$14.94 B,$13.57 B,$12.60 B,$11.72 B,$10.75 B,$10.24 B,$9.35 B,$8.35 B,$7.70 B,$6.93 B,$6.40 B,$5.93 B,$5.37 B,$4.74 B,$4.12 B,$3.78 B,$3.41 B,$2.91 B
pacific-gas-and-electric,$22.75 B,$21.68 B,$20.64 B,$18.46 B,$17.12 B,$16.75 B,$17.13 B,$17.66 B,$16.83 B,$17.09 B,$15.59 B,$15.04 B,$14.95 B,$13.84 B,$13.39 B,$14.62 B,$13.23 B,$12.53 B,$11.70 B,$11.07 B,$11.17 B,$16.55 B,$22.95 B
takeda-pharmaceutical,$29.84 B,$29.59 B,$30.95 B,$30.17 B,$29.70 B,$16.14 B,$15.90 B,$16.00 B,$15.16 B,$16.10 B,$16.67 B,$19.25 B,$18.51 B,$16.42 B,$15.52 B,,,,,,,,
hilton-hotels,$10.07 B,$8.77 B,$5.78 B,$4.30 B,$9.45 B,$8.90 B,$9.14 B,$11.66 B,$11.27 B,$10.50 B,$9.73 B,,,,,,,,,,,,
kotak-mahindra-bank,$7.56 B,$6.25 B,$6.08 B,$5.14 B,$5.02 B,$3.99 B,$3.93 B,$2.93 B,$2.41 B,$2.14 B,$1.67 B,$1.92 B,,,,,,,,,,,
mizuho-financial-group,$20.32 B,$20.53 B,$24.58 B,$23.98 B,$23.22 B,$18.14 B,$28.62 B,$14.14 B,$20.81 B,$19.68 B,$24.36 B,$22.47 B,$24.24 B,$25.22 B,$17.70 B,$17.41 B,$23.76 B,,,,,,
foxconn-industrial-internet,$68.22 B,$75.42 B,$68.03 B,$63.34 B,$58.90 B,$61.94 B,$53.21 B,,,,,,,,,,,,,,,,
pernod-ricard,$11.17 B,$10.50 B,$9.50 B,$10.43 B,$10.49 B,$10.30 B,$9.66 B,$9.60 B,$10.84 B,$11.15 B,$10.39 B,$11.06 B,$8.66 B,$10.11 B,$10.37 B,$8.78 B,$7.75 B,$6.34 B,$4.44 B,$5.24 B,,,
ford,$174.22 B,$158.05 B,$136.34 B,$127.14 B,$155.90 B,$160.33 B,$156.77 B,$151.80 B,$149.55 B,$144.07 B,$146.91 B,$134.25 B,$136.26 B,$128.95 B,$118.30 B,$146.26 B,$172.45 B,$160.44 B,$177.08 B,$171.75 B,$164.19 B,$163.45 B,$162.32 B
basf,$77.92 B,$92.03 B,$91.46 B,$68.52 B,$66.33 B,$76.03 B,$73.96 B,$63.57 B,$77.93 B,$97.20 B,$98.15 B,$102.49 B,$101.40 B,$84.05 B,$71.36 B,$93.93 B,$80.37 B,$67.02 B,$52.13 B,$48.11 B,$39.99 B,$35.29 B,$33.92 B
idexx-laboratories,$3.58 B,$3.36 B,$3.21 B,$2.70 B,$2.40 B,$2.21 B,$1.96 B,$1.77 B,$1.60 B,$1.48 B,$1.37 B,$1.29 B,$1.21 B,$1.10 B,$1.03 B,$1.02 B,$0.92 B,$0.73 B,$0.63 B,$0.54 B,$0.47 B,$0.41 B,$0.38 B
stmicroelectronics,$17.42 B,$16.12 B,$12.76 B,$10.21 B,$9.55 B,$9.66 B,$8.34 B,$6.97 B,$6.89 B,$7.40 B,$8.08 B,$8.49 B,$9.73 B,$10.34 B,$8.51 B,$9.84 B,$10.00 B,$9.85 B,$8.88 B,$8.76 B,$7.23 B,$6.31 B,$6.35 B
constellation-brands,$9.78 B,$9.55 B,$8.67 B,$8.56 B,$8.23 B,$8.08 B,$7.44 B,$7.24 B,$6.36 B,$5.96 B,$4.27 B,$2.72 B,$2.74 B,$3.32 B,$3.39 B,$3.80 B,$4.03 B,$5.12 B,$4.59 B,$3.93 B,$3.32 B,$2.75 B,$2.69 B
macquarie,$4.40 B,$5.16 B,$3.93 B,$3.60 B,$3.93 B,$3.58 B,$3.31 B,$3.72 B,$3.65 B,$3.56 B,$3.56 B,$3.50 B,$4.01 B,$3.40 B,$2.79 B,$4.24 B,$2.86 B,$2.16 B,$1.56 B,N/A,N/A,N/A,
williams-companies,$11.05 B,$10.96 B,$10.33 B,$7.71 B,$8.20 B,$8.68 B,$8.03 B,$7.49 B,$7.36 B,$7.63 B,$6.86 B,$7.51 B,$7.93 B,$9.61 B,$8.46 B,$12.35 B,$11.04 B,$11.81 B,$12.58 B,$12.51 B,$17.46 B,$5.53 B,$11.03 B
lafargeholcim,$26.85 B,$27.40 B,$24.46 B,$20.56 B,$21.41 B,$23.22 B,$23.21 B,$21.45 B,$19.77 B,,,,,,,,,,,,,,
daikin,$29.97 B,$28.36 B,$26.38 B,$23.01 B,$23.46 B,$22.14 B,$20.00 B,$18.69 B,$16.84 B,$17.46 B,$17.02 B,$15.35 B,$15.31 B,$12.96 B,$10.75 B,,,,,,,,
engie,$100.52 B,$65.53 B,$68.57 B,$67.27 B,$69.32 B,$78.06 B,$70.15 B,$76.40 B,$90.83 B,$123.32 B,$128.35 B,$117.51 B,$112.36 B,$114.48 B,$94.95 B,$69.31 B,$36.53 B,$26.46 B,$24.69 B,$21.31 B,$16.14 B,,
hikvision,$12.01 B,$12.25 B,$12.61 B,$9.32 B,$8.30 B,$7.44 B,$6.28 B,$4.75 B,$3.98 B,$2.78 B,$1.75 B,$1.14 B,$0.81 B,$0.53 B,$0.30 B,,,,,,,,
ocbc-bank,$9.73 B,$8.35 B,$7.72 B,$6.97 B,$7.94 B,$7.13 B,$6.98 B,$6.06 B,$6.22 B,$6.47 B,$5.24 B,$6.34 B,$4.45 B,$3.94 B,$3.32 B,,,,,,,,
square,$20.79 B,$17.53 B,$17.66 B,$9.49 B,$4.71 B,$3.29 B,$2.21 B,$1.70 B,$1.26 B,,,,,,,,,,,,,,
zijin-mining,$41.31 B,$39.96 B,$34.82 B,$24.96 B,$19.65 B,$15.88 B,$14.16 B,$11.81 B,$11.80 B,$9.50 B,$8.12 B,$7.69 B,$6.20 B,$4.25 B,$3.07 B,$2.45 B,,,,,,,
jingdong-mall,$152.48 B,$154.72 B,$147.29 B,$108.95 B,$83.29 B,$69.25 B,$54.31 B,$38.85 B,$28.69 B,$18.59 B,,,,,,,,,,,,,
valero,$151.09 B,$176.38 B,$113.97 B,$64.91 B,$108.32 B,$117.03 B,$93.98 B,$75.65 B,$87.80 B,$130.84 B,$138.07 B,$139.25 B,$125.98 B,$82.23 B,$68.14 B,$119.11 B,$96.27 B,$91.83 B,$82.16 B,$54.61 B,$37.96 B,$26.97 B,$14.98 B
axis-bank,$8.58 B,$7.39 B,$6.46 B,$5.72 B,$5.46 B,,,,,,,,,,,,,,,,,,
gazprom,$149.14 B,$138.28 B,$83.30 B,$120.02 B,$129.40 B,$113.84 B,$95.62 B,$96.55 B,$139.64 B,$163.30 B,$155.28 B,,,,,,,,,,,,
cheniere-energy,$24.65 B,$33.42 B,$15.86 B,$9.35 B,$9.73 B,$7.98 B,$5.60 B,$1.28 B,$0.27 B,$0.26 B,$0.26 B,$0.26 B,$0.29 B,$0.29 B,$0.14 B,$7.43 M,$4.58 M,$2.37 M,$3 M,$1.99 M,$0.65 M,$0.23 M,$2.37 M
american-electric-power,$19.28 B,$19.63 B,$16.79 B,$14.91 B,$15.56 B,$16.19 B,$15.42 B,$16.38 B,$16.69 B,$17.02 B,$15.35 B,$14.94 B,$15.11 B,$14.42 B,$13.48 B,$14.44 B,$13.38 B,$12.62 B,$12.11 B,$14.05 B,$14.54 B,$35.97 B,$61.33 B
digital-realty,$5.34 B,$4.69 B,$4.42 B,$3.90 B,$3.20 B,$3.04 B,$2.45 B,$2.14 B,$1.76 B,$1.61 B,$1.48 B,$1.27 B,$1.06 B,$0.86 B,$0.63 B,$0.52 B,$0.39 B,$0.28 B,$0.20 B,$0.12 B,,,
the-travelers-companies,$40.06 B,$36.89 B,$34.81 B,$31.98 B,$31.58 B,$30.28 B,$28.90 B,$27.62 B,$26.80 B,$27.16 B,$26.19 B,$25.74 B,$25.44 B,$25.11 B,$24.68 B,$24.47 B,$26.01 B,$25.09 B,$24.36 B,$22.93 B,$8.85 B,$8.93 B,$8.94 B
edwards-lifesciences,$5.81 B,$5.38 B,$5.23 B,$4.38 B,$4.34 B,$3.72 B,$3.43 B,$2.96 B,$2.49 B,$2.32 B,$2.04 B,$1.89 B,$1.67 B,$1.44 B,$1.32 B,$1.23 B,$1.09 B,$1.03 B,$0.99 B,$0.93 B,$0.86 B,$0.70 B,$0.69 B
credit-agricole,$24.13 B,$21.98 B,$24.39 B,$18.96 B,$20.77 B,$21.50 B,$21.07 B,$18.57 B,$18.81 B,$20.39 B,$23.43 B,$40.90 B,$28.72 B,$26.45 B,,,,,,,,,
te-connectivity,$16.03 B,$16.30 B,$15.21 B,$12.52 B,$13.26 B,$14.36 B,$13.53 B,$12.46 B,$12.01 B,$14.05 B,$13.47 B,$13.24 B,$14.42 B,$12.37 B,$10.55 B,$14.08 B,$13.91 B,,,,,,
seattle-genetics,$2.30 B,$1.96 B,$1.57 B,$2.17 B,$0.91 B,$0.65 B,$0.48 B,$0.41 B,$0.33 B,$0.28 B,$0.26 B,$0.21 B,$94.77 M,$0.10 B,$51.96 M,$35.23 M,$22.42 M,$10 M,$9.75 M,$6.7 M,$5.07 M,$1.68 M,$0.27 M
old-dominion-freight-line,$5.86 B,$5.25 B,$4.01 B,$4.10 B,$4.04 B,$3.35 B,$2.99 B,$2.97 B,$2.78 B,$2.33 B,$2.11 B,$1.88 B,$1.48 B,$1.24 B,$1.53 B,$1.40 B,$1.27 B,$1.06 B,$0.82 B,$0.66 B,$0.56 B,$0.50 B,
danone,$29.62 B,$27.49 B,$29.05 B,$28.32 B,$28.20 B,$29.62 B,$23.10 B,$24.50 B,$25.71 B,$29.41 B,$27.60 B,$25.03 B,$22.62 B,$21.46 B,$21.27 B,$18.65 B,$18.60 B,$15.37 B,$18.57 B,$16.50 B,$14.71 B,$15.71 B,
bae-systems,$25.76 B,$26.35 B,$26.27 B,$24.00 B,$21.35 B,$24.76 B,$21.96 B,$24.87 B,$24.02 B,$27.81 B,$26.86 B,$27.56 B,$32.38 B,$32.96 B,$24.43 B,$28.42 B,$24.22 B,$18.94 B,$16.92 B,$15.00 B,$10.20 B,$11.42 B,
bayan-resources,$4.11 B,$4.70 B,$2.85 B,$1.39 B,$1.39 B,$1.67 B,$1.06 B,$0.55 B,$0.46 B,$0.82 B,$1.14 B,$1.42 B,$1.46 B,,,,,,,,,,
industrial-bank,$30.19 B,$32.94 B,$34.17 B,$29.55 B,$26.17 B,$23.67 B,$20.83 B,$23.52 B,$24.40 B,$20.15 B,$17.80 B,$13.89 B,$9.31 B,$6.47 B,$4.64 B,$4.32 B,$2.93 B,,,,,,
citic-securities,$8.49 B,$9.54 B,$11.69 B,$7.82 B,$6.11 B,$5.49 B,$6.39 B,$5.62 B,$8.79 B,$4.61 B,$2.60 B,$1.78 B,$3.87 B,$4.16 B,$3.21 B,$2.57 B,$4.13 B,$0.71 B,$0.13 B,$0.13 B,$0.11 B,,
nordea-bank,$12.62 B,$10.29 B,$11.29 B,$9.87 B,$9.43 B,$9.93 B,$10.83 B,$10.82 B,$10.74 B,$12.84 B,$13.06 B,$13.37 B,$13.02 B,$12.17 B,$12.68 B,,,,,,,,
hess,$10.43 B,$11.32 B,$7.47 B,$4.66 B,$6.49 B,$6.32 B,$5.52 B,$4.76 B,$6.63 B,$13.70 B,$14.36 B,$37.76 B,$38.91 B,$34.93 B,$29.73 B,$41.16 B,$31.64 B,$28.06 B,$22.86 B,$16.73 B,$14.24 B,$11.93 B,$13.41 B
kimberly-clark,$20.42 B,$20.17 B,$19.44 B,$19.14 B,$18.45 B,$18.48 B,$18.25 B,$18.20 B,$18.59 B,$20.89 B,$21.15 B,$21.06 B,$20.84 B,$19.74 B,$19.11 B,$19.41 B,$18.26 B,$16.74 B,$15.90 B,$15.08 B,$14.34 B,$13.56 B,$14.52 B
jiangsu-hengrui-medicine,$3.17 B,$3.14 B,$4.00 B,$4.06 B,$3.35 B,$2.60 B,$2.06 B,$1.66 B,$1.47 B,$1.20 B,$1.01 B,$0.86 B,$0.70 B,$0.55 B,$0.44 B,$0.34 B,$0.26 B,$0.17 B,$0.14 B,$0.13 B,$0.12 B,$91.36 M,
hoya,$5.39 B,$5.39 B,$5.79 B,$5.11 B,$5.40 B,$5.13 B,$4.73 B,$4.50 B,$4.31 B,$4.46 B,$4.34 B,$4.88 B,$5.03 B,$4.92 B,$4.16 B,$5.04 B,,,,,,,
hong-kong-exchanges-and-clearing,$2.03 B,$2.16 B,$2.50 B,$2.17 B,$1.73 B,$1.81 B,$1.48 B,$1.34 B,$1.57 B,$1.17 B,$1.04 B,$0.82 B,$0.94 B,$0.89 B,$0.78 B,,,,,,,,
nucor,$35.73 B,$41.51 B,$36.48 B,$20.13 B,$22.58 B,$25.06 B,$20.25 B,$16.20 B,$16.43 B,$21.10 B,$19.05 B,$19.42 B,$20.02 B,$15.84 B,$11.19 B,$23.66 B,$16.59 B,$14.75 B,$12.70 B,$11.37 B,$6.26 B,$4.80 B,$4.13 B
wesfarmers,$28.74 B,$25.23 B,$25.39 B,$21.13 B,$19.53 B,$49.27 B,$52.27 B,$48.93 B,$47.64 B,$56.67 B,$54.50 B,$59.32 B,$58.52 B,$43.47 B,$40.98 B,$32.02 B,$8.33 B,$6.55 B,$5.29 B,$4.89 B,$4.88 B,$4.85 B,$2.79 B
adyen,$9.56 B,$6.78 B,$4.47 B,$2.97 B,$1.89 B,$1.21 B,$0.69 B,$0.36 B,$0.18 B,,,,,,,,,,,,,,
ww-grainger,$16.28 B,$15.22 B,$13.02 B,$11.79 B,$11.48 B,$11.22 B,$10.42 B,$10.13 B,$9.97 B,$9.96 B,$9.43 B,$8.95 B,$8.07 B,$7.18 B,$6.22 B,$6.85 B,$6.41 B,$5.88 B,$5.52 B,$5.04 B,$4.66 B,$4.64 B,$4.75 B
cencora,$262.17 B,$241.80 B,$221.10 B,$194.54 B,$182.06 B,$172.86 B,$155.44 B,$148.30 B,$139.08 B,$123.98 B,$96.07 B,$80.59 B,$80.68 B,$78.50 B,$73.75 B,$70.33 B,$66.72 B,$63.27 B,$55.59 B,$53.46 B,$50.57 B,$46.60 B,$23.95 B
msci,$2.41 B,$2.24 B,$2.04 B,$1.69 B,$1.55 B,$1.43 B,$1.27 B,$1.15 B,$1.07 B,$0.99 B,$1.03 B,$0.95 B,$0.90 B,$0.66 B,$0.44 B,$0.43 B,$0.36 B,$0.31 B,$0.27 B,,,,
maruti-suzuki-india,$15.15 B,$13.61 B,$11.13 B,$8.36 B,$10.90 B,,,,,,,,,,,,,,,,,,
kenvue,$15.54 B,$14.95 B,,,,,,,,,,,,,,,,,,,,,
qnb-qatar-national-bank,$10.20 B,$9.39 B,$7.65 B,$6.92 B,$6.90 B,$6.62 B,$6.18 B,$6.28 B,$4.32 B,$4.21 B,$4.01 B,$3.08 B,,,,,,,,,,,
cibc,$17.25 B,$16.74 B,$15.99 B,$13.86 B,$13.96 B,$13.79 B,$12.23 B,$10.91 B,$10.77 B,$11.89 B,$12.34 B,$12.55 B,$12.52 B,$11.73 B,$8.76 B,$3.26 B,$11.74 B,$10.06 B,$10.22 B,$9.04 B,$8.56 B,$8.14 B,$8.23 B
first-abu-dhabi-bank,,,,,,,,,,,,,,,,,,,,,,,
doordash,$8.15 B,$6.58 B,$4.88 B,$2.88 B,,,,,,,,,,,,,,,,,,,
baidu,$18.83 B,$18.26 B,$19.25 B,$15.63 B,$15.50 B,$15.30 B,$12.67 B,$10.56 B,$10.50 B,$7.93 B,$5.22 B,$3.54 B,$2.26 B,$0.46 B,$0.20 B,$0.23 B,$0.10 B,$4.99 M,$14.2 M,$4.9 M,,,
archer-daniels-midland,$97.18 B,$101.84 B,$85.24 B,$64.35 B,$64.65 B,$64.34 B,$60.82 B,$62.34 B,$67.70 B,$81.20 B,$89.80 B,$88.15 B,$68.57 B,$62.20 B,$78.32 B,$52.91 B,$39.09 B,$35.83 B,$37.03 B,$33.11 B,$27.14 B,$21.53 B,
oneok,$17.47 B,$22.38 B,$16.54 B,$8.54 B,$10.16 B,$12.59 B,$12.17 B,$8.92 B,$7.76 B,$12.19 B,$14.60 B,$12.63 B,$14.80 B,$13.03 B,$11.11 B,$16.15 B,$13.46 B,$12.05 B,$12.76 B,$5.98 B,$2.96 B,$3.65 B,$6.80 B
suncor-energy,$38.45 B,$44.54 B,$30.96 B,$18.29 B,$29.33 B,$29.56 B,$25.29 B,$20.46 B,$22.44 B,$36.20 B,$38.40 B,$38.59 B,$40.26 B,$35.47 B,$24.04 B,$27.95 B,$17.19 B,$13.89 B,$9.35 B,$6.78 B,$4.69 B,$3.61 B,$2.94 B
dominion-energy,$17.76 B,$17.17 B,$13.96 B,$15.20 B,$16.57 B,$13.36 B,$12.58 B,$11.73 B,$11.68 B,$12.43 B,$13.12 B,$13.12 B,$14.37 B,$15.19 B,$15.13 B,$16.29 B,$15.72 B,$16.48 B,$18.04 B,$13.97 B,$12.07 B,$10.21 B,$10.55 B
centene,$150.10 B,$144.54 B,$125.98 B,$111.11 B,$74.63 B,$60.11 B,$48.38 B,$40.60 B,$22.76 B,$16.56 B,$11.10 B,$8.66 B,$5.34 B,$4.44 B,$4.10 B,$3.36 B,$2.91 B,$2.27 B,$1.50 B,$1.00 B,$0.76 B,$0.46 B,
tc-energy,$10.38 B,$11.39 B,$10.59 B,$9.64 B,$10.05 B,$10.40 B,$10.49 B,$9.54 B,$8.63 B,$9.15 B,$8.45 B,$7.95 B,$9.14 B,$7.85 B,$7.92 B,$7.98 B,$8.43 B,$6.58 B,$5.06 B,$4.01 B,$3.98 B,$3.88 B,$8.74 B
realty-income,$3.89 B,$3.34 B,$2.08 B,$1.65 B,$1.49 B,$1.32 B,$1.21 B,$1.10 B,$1.02 B,$0.93 B,$0.77 B,$0.40 B,$0.42 B,$0.34 B,$0.32 B,$0.33 B,$0.29 B,$0.24 B,$0.19 B,$0.17 B,$0.15 B,$0.14 B,$0.12 B
fortinet,$5.17 B,$4.41 B,$3.34 B,$2.59 B,$2.15 B,$1.80 B,$1.49 B,$1.27 B,$1.00 B,$0.77 B,$0.61 B,$0.53 B,$0.43 B,$0.32 B,$0.25 B,,,,,,,,
iqvia,$14.85 B,$14.41 B,$13.87 B,$11.35 B,$11.08 B,$10.41 B,$9.73 B,$6.87 B,$5.73 B,$5.45 B,$5.09 B,$4.86 B,,,,,,,,,,,
maybank,$5.76 B,$5.84 B,$5.72 B,$5.54 B,$5.82 B,$5.07 B,$5.18 B,$5.14 B,$4.93 B,$5.40 B,$6.51 B,$6.15 B,,,,,,,,,,,
kinder-morgan,$15.87 B,$19.20 B,$16.61 B,$11.70 B,$13.20 B,$14.14 B,$13.70 B,$13.05 B,$14.40 B,$16.22 B,$13.96 B,$9.97 B,$8.26 B,$8.19 B,,,,,,,,,
luzhou-laojiao,$4.19 B,$3.71 B,$3.19 B,$2.43 B,$2.28 B,$1.96 B,$1.55 B,$1.24 B,$1.09 B,$0.86 B,$1.70 B,$1.83 B,$1.31 B,$0.80 B,$0.64 B,$0.55 B,$0.39 B,$0.23 B,$0.17 B,$0.15 B,$0.14 B,$0.12 B,
exelon-corporation,$21.02 B,$19.07 B,$36.34 B,$33.03 B,$34.43 B,$35.98 B,$33.53 B,$31.36 B,$29.44 B,$27.42 B,$24.90 B,$23.48 B,$18.92 B,$18.64 B,$17.31 B,$18.86 B,$18.91 B,$15.65 B,$15.35 B,$14.51 B,$15.81 B,$15.46 B,$15.14 B
nu-holdings,$4.90 B,$2.97 B,$1.14 B,,,,,,,,,,,,,,,,,,,,
titan-company,$5.08 B,$4.67 B,$3.91 B,$2.36 B,$3.01 B,$2.74 B,$2.38 B,,,,,,,,,,,,,,,,
lennar,$33.43 B,$33.67 B,$27.13 B,$22.48 B,$22.25 B,$20.57 B,$12.64 B,$10.94 B,$9.47 B,$7.77 B,$5.93 B,$4.10 B,$3.09 B,$3.07 B,$3.11 B,$4.57 B,$10.18 B,$16.26 B,$13.86 B,$10.50 B,$8.94 B,$7.31 B,$6.02 B
adani-enterprises,$12.84 B,$16.34 B,$7.82 B,$5.29 B,$6.16 B,$5.48 B,$6.18 B,$4.94 B,$7.65 B,$10.56 B,$8.42 B,$8.51 B,,,,,,,,,,,
samsung-biologics,$2.74 B,$2.29 B,$1.34 B,$1.00 B,$0.60 B,$0.48 B,$0.41 B,$0.25 B,,,,,,,,,,,,,,,
johnson-controls,$26.61 B,$25.50 B,$24.18 B,$22.08 B,$24.08 B,$29.42 B,$30.52 B,$35.83 B,$36.48 B,$42.92 B,$43.21 B,$41.96 B,$41.71 B,$35.43 B,$29.56 B,$35.91 B,$35.89 B,$32.91 B,$28.18 B,$27.14 B,$23.84 B,$20.46 B,$18.79 B
general-mills,$20.28 B,$19.36 B,$18.60 B,$18.28 B,$16.78 B,$16.27 B,$15.56 B,$15.95 B,$17.28 B,$17.64 B,$18.08 B,$17.11 B,$15.75 B,$14.79 B,$14.78 B,$14.38 B,$12.89 B,$12.03 B,$11.42 B,$11.24 B,$10.76 B,$9.15 B,$7.62 B
maaden,$8.18 B,$10.73 B,$7.14 B,$4.95 B,$4.72 B,$3.78 B,$3.22 B,$2.53 B,$2.92 B,$2.87 B,$1.50 B,$1.49 B,,,,,,,,,,,
spotify,$13.70 B,$12.33 B,$11.23 B,$9.14 B,$7.56 B,$6.16 B,$4.71 B,,,,,,,,,,,,,,,,
hershey-company,$11.16 B,$10.41 B,$8.97 B,$8.14 B,$7.98 B,$7.79 B,$7.51 B,$7.44 B,$7.38 B,$7.42 B,$7.14 B,$6.64 B,$6.08 B,$5.67 B,$5.29 B,$5.13 B,$4.94 B,$4.94 B,$4.83 B,$4.42 B,$4.17 B,$4.12 B,$4.55 B
palantir,$2.12 B,$1.90 B,$1.54 B,$1.09 B,,,,,,,,,,,,,,,,,,,
haleon,$15.17 B,$14.38 B,,,,,,,,,,,,,,,,,,,,,
woodside-energy,$16.81 B,$5.14 B,$2.79 B,$3.50 B,$3.74 B,$3.07 B,$2.98 B,$3.66 B,$6.08 B,$5.28 B,$6.59 B,$4.90 B,$4.25 B,$3.44 B,$2.93 B,$2.94 B,$2.37 B,$1.54 B,$1.10 B,$1.01 B,$0.82 B,$0.80 B,
agilent-technologies,$6.83 B,$6.84 B,$6.31 B,$5.33 B,$5.16 B,$4.91 B,$4.47 B,$4.20 B,$4.03 B,$6.98 B,$6.78 B,$6.85 B,$6.61 B,$5.44 B,$4.48 B,$5.77 B,$5.42 B,$4.97 B,$5.13 B,$7.18 B,$6.05 B,$6.01 B,$8.68 B
sysco,$76.81 B,$73.58 B,$60.73 B,$45.90 B,$60.46 B,$59.64 B,$57.00 B,$53.07 B,$48.86 B,$48.09 B,$45.47 B,$43.43 B,$41.01 B,$38.42 B,$35.77 B,$37.90 B,$36.44 B,$33.88 B,$31.40 B,$30.02 B,$27.53 B,$24.70 B,$22.55 B
