Company,2023 (TTM),2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001
johnson-and-johnson,$91.32 B,$94.94 B,$93.77 B,$82.58 B,$82.05 B,$81.58 B,$76.45 B,$71.89 B,$70.07 B,$74.33 B,$71.31 B,$67.22 B,$65.03 B,$61.58 B,$61.89 B,$63.74 B,$61.09 B,$53.32 B,$50.51 B,$47.34 B,$41.86 B,$36.29 B,$32.77 B
tencent,$85.00 B,$82.03 B,$86.61 B,$70.35 B,$54.46 B,$46.90 B,$35.53 B,$22.71 B,$16.27 B,$12.76 B,$9.87 B,$6.97 B,$4.44 B,,,,,,,,,,
samsung,$200.26 B,$233.13 B,$240.71 B,$203.43 B,$198.03 B,$221.67 B,$214.57 B,$175.51 B,$174.66 B,$195.22 B,$210.86 B,$184.22 B,$146.43 B,$133.94 B,$113.64 B,$104.33 B,$106.73 B,,,,,,
procter-and-gamble,$83.26 B,$80.28 B,$78.34 B,$73.97 B,$69.59 B,$66.91 B,$65.73 B,$65.23 B,$69.37 B,$81.66 B,$84.73 B,$83.32 B,$85.14 B,$79.57 B,$77.91 B,$84.12 B,$79.74 B,$73.60 B,$61.67 B,$54.18 B,$46.99 B,$41.87 B,$39.26 B
home-depot,$153.71 B,$157.29 B,$147.69 B,$125.63 B,$110.93 B,$105.59 B,$99.22 B,$93.36 B,$86.70 B,$81.71 B,$79.36 B,$72.52 B,$69.50 B,$67.44 B,$66.21 B,$74.34 B,$82.99 B,$90.06 B,$78.83 B,$71.40 B,$62.90 B,$58.52 B,$50.52 B
oracle,$50.96 B,$46.07 B,$41.40 B,$39.40 B,$39.58 B,$39.77 B,$38.90 B,$37.23 B,$37.47 B,$38.82 B,$37.55 B,$37.23 B,$36.70 B,$31.99 B,$23.22 B,$23.52 B,$20.08 B,$16.07 B,$12.88 B,$10.55 B,$9.70 B,$9.41 B,$10.53 B
nestle,$102.59 B,$95.73 B,$96.05 B,$95.87 B,$93.27 B,$92.55 B,$88.13 B,$90.16 B,$92.92 B,$104.11 B,$101.16 B,$89.29 B,$111.94 B,$97.25 B,$105.38 B,$95.01 B,$80.92 B,$69.21 B,$76.07 B,$71.14 B,$102.20 B,$97.09 B,
kweichow-moutai,$20.35 B,$18.88 B,$16.93 B,$14.30 B,$12.83 B,$11.57 B,$9.12 B,$6.02 B,$5.30 B,$5.21 B,$5.07 B,$4.20 B,$2.86 B,$1.72 B,$1.41 B,$1.19 B,$0.96 B,$0.61 B,$0.48 B,$0.36 B,$0.29 B,$0.22 B,
asml,$28.79 B,$22.18 B,$21.62 B,$16.31 B,$13.21 B,$12.83 B,$10.44 B,$7.49 B,$6.95 B,$7.65 B,$7.01 B,$6.15 B,$7.81 B,$5.93 B,$2.27 B,$4.46 B,$5.32 B,$4.60 B,$3.09 B,$3.12 B,$1.83 B,$2.17 B,$2.06 B
adobe,$18.88 B,$17.60 B,$15.78 B,$12.86 B,$11.17 B,$9.03 B,$7.30 B,$5.85 B,$4.79 B,$4.14 B,$4.05 B,$4.40 B,$4.21 B,$3.80 B,$2.94 B,$3.57 B,$3.15 B,$2.57 B,$1.96 B,$1.66 B,$1.29 B,$1.16 B,$1.22 B
chevron,$202.50 B,$235.71 B,$155.60 B,$94.47 B,$139.86 B,$158.90 B,$134.67 B,$110.21 B,$129.92 B,$200.49 B,$220.15 B,$232.53 B,$246.34 B,$350.19 B,$122.76 B,$273.00 B,$220.90 B,$210.11 B,$199.32 B,$159.09 B,$121.44 B,$99.22 B,$106.24 B
costco,$243.11 B,$172.92 B,$154.67 B,$144.83 B,$132.73 B,$119.59 B,$116.55 B,$114.48 B,$106.45 B,$101.22 B,$91.30 B,$79.88 B,$72.32 B,$73.06 B,$66.05 B,$61.37 B,$54.28 B,$49.16 B,$43.86 B,$39.49 B,$35.62 B,,
abbvie,$55.13 B,$58.05 B,$56.19 B,$45.80 B,$33.26 B,$32.75 B,$28.21 B,$25.63 B,$22.85 B,$19.96 B,$18.79 B,$18.37 B,$17.44 B,,,,,,,,,,
merck,$59.31 B,$59.28 B,$50.15 B,$47.99 B,$46.84 B,$42.29 B,$40.12 B,$39.80 B,$39.49 B,$42.23 B,$44.03 B,$46.93 B,$48.04 B,$45.98 B,$27.42 B,$23.85 B,$24.19 B,$22.63 B,$22.01 B,$22.93 B,$38.05 B,$51.79 B,$47.71 B
l-oreal,$40.97 B,$36.56 B,$34.42 B,$33.46 B,$30.81 B,$31.24 B,$27.19 B,$27.61 B,$27.40 B,$31.73 B,$29.71 B,$26.36 B,$25.93 B,$25.03 B,$24.52 B,$24.91 B,$20.87 B,$17.17 B,$19.71 B,$17.66 B,$15.49 B,$14.90 B,
coca-cola,$45.03 B,$43.00 B,$38.65 B,$41.61 B,$36.59 B,$31.85 B,$35.41 B,$41.86 B,$44.29 B,$45.99 B,$46.85 B,$48.01 B,$46.54 B,$35.11 B,$30.99 B,$31.94 B,$28.85 B,$24.08 B,$23.16 B,$21.96 B,$21.04 B,$19.56 B,$20.09 B
toyota,$296.61 B,$267.02 B,$276.57 B,$251.62 B,$280.44 B,$272.78 B,$260.43 B,$250.85 B,$236.48 B,$246.79 B,$251.82 B,$268.95 B,$221.22 B,$226.29 B,$183.22 B,$233.04 B,$223.11 B,$196.31 B,$184.78 B,$172.03 B,$142.91 B,$123.85 B,$112.16 B
bank-of-america,$101.15 B,$94.95 B,$89.11 B,$85.52 B,$91.24 B,$91.18 B,$87.35 B,$81.53 B,$83.26 B,$83.11 B,$86.34 B,$81.31 B,$86.31 B,$108.47 B,$111.62 B,$73.41 B,$62.25 B,$69.39 B,$57.17 B,$51.01 B,$38.82 B,$35.12 B,$35.11 B
salesforce,$33.95 B,$30.29 B,$24.98 B,$20.28 B,$15.85 B,$12.53 B,$9.92 B,$7.90 B,$6.30 B,$5.07 B,$3.76 B,$2.84 B,$2.09 B,$1.55 B,$1.24 B,$1.00 B,$0.67 B,$0.44 B,$0.27 B,$0.14 B,,,
international-holding-company,$7.74 B,$1.91 B,$0.34 B,$0.15 B,$0.11 B,$0.10 B,$96.44 M,,,,,,,,,,,,,,,,
roche,$68.50 B,$68.73 B,$66.15 B,$63.45 B,$57.79 B,$54.73 B,$49.64 B,$48.72 B,$48.01 B,$52.72 B,$49.85 B,$45.33 B,$50.80 B,$47.42 B,$43.74 B,$40.75 B,$34.55 B,$26.98 B,$27.42 B,$25.24 B,$34.07 B,$33.43 B,
pepsico,$91.61 B,$86.39 B,$79.47 B,$70.37 B,$67.16 B,$64.66 B,$63.52 B,$62.79 B,$63.05 B,$66.68 B,$66.41 B,$65.49 B,$66.50 B,$82.00 B,$43.23 B,$43.25 B,$39.47 B,$35.13 B,$32.56 B,$29.26 B,$26.97 B,$25.11 B,$24.71 B
hermes-international,$12.42 B,$10.17 B,$7.85 B,$7.71 B,$6.82 B,$6.66 B,$5.47 B,$5.29 B,$5.00 B,$5.18 B,$4.60 B,$3.68 B,$3.19 B,$2.74 B,$2.46 B,$2.37 B,$2.00 B,$1.68 B,$1.80 B,$1.54 B,$1.34 B,$1.33 B,
icbc,$121.19 B,$135.56 B,$145.30 B,$128.20 B,$123.39 B,$115.86 B,$107.90 B,$101.14 B,$110.30 B,$106.16 B,$96.25 B,$84.91 B,$73.67 B,$56.39 B,$45.06 B,$44.78 B,$33.85 B,,,,,,
accenture,$64.11 B,$62.37 B,$53.73 B,$44.73 B,$43.96 B,$42.15 B,$37.81 B,$35.33 B,$33.03 B,$32.41 B,$30.52 B,$29.85 B,$28.46 B,$23.82 B,$22.44 B,$25.68 B,$22.38 B,$18.85 B,$17.56 B,$15.61 B,$13.64 B,$13.17 B,
shell,$339.19 B,$381.31 B,$261.50 B,$180.54 B,$344.87 B,$388.37 B,$305.17 B,$233.59 B,$264.96 B,$421.10 B,$451.23 B,$467.15 B,$475.80 B,$378.45 B,$283.91 B,$458.36 B,$355.78 B,$318.84 B,$306.73 B,,,,
mcdonald,$25.01 B,$23.18 B,$23.22 B,$19.20 B,$21.07 B,$21.02 B,$22.82 B,$24.62 B,$25.41 B,$27.44 B,$28.10 B,$27.56 B,$27.00 B,$24.07 B,$22.74 B,$23.52 B,$23.12 B,$21.58 B,$20.46 B,$19.06 B,$17.14 B,$15.40 B,$14.87 B
amd,$22.11 B,$23.60 B,$16.43 B,$9.76 B,$6.73 B,$6.47 B,$5.32 B,$4.27 B,$3.99 B,$5.50 B,$5.29 B,$5.42 B,$6.56 B,$6.49 B,$5.40 B,$5.85 B,$6.01 B,$5.64 B,$5.84 B,$5.00 B,$3.51 B,$2.69 B,$3.89 B
reliance-industries,$105.39 B,$109.62 B,$86.61 B,$60.98 B,$85.25 B,$78.90 B,$55.62 B,$41.72 B,$43.92 B,$67.30 B,,,,,,,,,,,,,
novartis,$52.32 B,$51.82 B,$52.87 B,$49.89 B,$48.67 B,$51.43 B,$50.13 B,$49.43 B,$50.38 B,$54.84 B,$58.83 B,$57.56 B,$59.37 B,$51.56 B,$45.10 B,$42.32 B,$39.20 B,$36.49 B,$32.45 B,$28.24 B,$24.86 B,$23.32 B,$19.46 B
netflix,$32.74 B,$31.61 B,$29.69 B,$24.99 B,$20.15 B,$15.79 B,$11.69 B,$8.83 B,$6.77 B,$5.50 B,$4.37 B,$3.60 B,$3.20 B,$2.16 B,$1.67 B,$1.36 B,$1.20 B,$0.99 B,$0.68 B,$0.50 B,$0.27 B,$0.15 B,
astrazeneca,$44.99 B,$44.35 B,$37.41 B,$26.61 B,$24.38 B,$22.09 B,$22.46 B,$23.00 B,$24.70 B,$26.09 B,$25.71 B,$27.97 B,$33.59 B,$33.26 B,$32.80 B,$31.60 B,$29.55 B,$26.47 B,$23.95 B,$21.42 B,$18.84 B,$17.72 B,$23.53 B
cisco,$58.03 B,$52.28 B,$50.78 B,$48.07 B,$51.99 B,$50.26 B,$47.78 B,$48.91 B,$49.59 B,$47.30 B,$48.81 B,$46.68 B,$43.72 B,$41.76 B,$34.80 B,$40.31 B,$36.29 B,$30.11 B,$25.38 B,$22.91 B,$19.13 B,$19.31 B,$20.22 B
