Company,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001
johnson-and-johnson,,$76.80 B,$74.02 B,$63.27 B,$59.47 B,$59.75 B,$60.16 B,$70.41 B,$71.15 B,$69.75 B,$74.05 B,$64.82 B,$57.08 B,$56.57 B,$50.58 B,$42.51 B,$43.31 B,$39.31 B,$37.87 B,$31.81 B,$26.86 B,$22.69 B,$24.23 B
tencent,,$113.50 B,$137.58 B,$119.29 B,$69.97 B,$51.79 B,$42.59 B,$26.82 B,$18.83 B,$13.26 B,$9.66 B,$6.76 B,$4.62 B,$3.30 B,$1.80 B,$1.04 B,$0.72 B,$0.47 B,$0.36 B,$0.32 B,$57.08 M,,
samsung,,$281.34 B,$256.24 B,$253.99 B,$227.33 B,$221.94 B,$201.19 B,$160.07 B,$152.33 B,$153.46 B,$142.28 B,$117.02 B,$87.84 B,$79.27 B,$63.45 B,$50.65 B,$60.42 B,$52.26 B,$41.54 B,,,,
procter-and-gamble,$47.06 B,$46.85 B,$46.65 B,$46.87 B,$47.57 B,$52.88 B,$55.77 B,$57.98 B,$63.05 B,$69.97 B,$68.70 B,$64.03 B,$68.00 B,$61.43 B,$63.38 B,$69.49 B,$66.76 B,$62.90 B,$17.47 B,$17.27 B,$16.18 B,$13.70 B,$12.01 B
home-depot,$1.56 B,$-1.7 B,$3.29 B,$-3.12 B,$-1.88 B,$1.45 B,$4.33 B,$6.31 B,$9.32 B,$12.52 B,$17.77 B,$17.89 B,$18.88 B,$19.39 B,$17.77 B,$17.71 B,$25.03 B,$26.90 B,$24.15 B,$22.40 B,$19.80 B,$18.08 B,$15.01 B
oracle,$1.55 B,$-5.77 B,$5.95 B,$12.71 B,$22.36 B,$46.22 B,$54.24 B,$47.79 B,$49.09 B,$47.44 B,$45.14 B,$44.08 B,$40.24 B,$31.19 B,$25.09 B,$23.02 B,$16.91 B,$15.01 B,$10.83 B,$7.99 B,$6.32 B,$6.11 B,$6.27 B
nestle,,$46.32 B,$58.80 B,$52.76 B,$54.57 B,$59.37 B,$64.47 B,$64.77 B,$64.76 B,$72.71 B,$72.29 B,$68.59 B,$62.11 B,$66.98 B,$51.85 B,$52.65 B,$47.90 B,$43.43 B,$39.09 B,$35.31 B,$30.58 B,$40.49 B,$38.90 B
kweichow-moutai,,$29.71 B,$30.90 B,$25.71 B,$20.30 B,$17.07 B,$14.75 B,$10.93 B,$10.21 B,$8.93 B,$7.29 B,$5.68 B,$4.04 B,$2.80 B,$2.14 B,$1.68 B,$1.14 B,$0.76 B,$0.63 B,$0.51 B,$0.41 B,$0.34 B,$0.30 B
asml,,$12.08 B,$11.48 B,$17.05 B,$15.54 B,$14.80 B,$12.81 B,$10.33 B,$9.17 B,$10.17 B,$10.41 B,$5.37 B,$4.82 B,$3.68 B,$2.54 B,$2.78 B,$2.78 B,$2.85 B,$2.02 B,$1.88 B,$1.44 B,$1.43 B,$1.34 B
adobe,,$14.05 B,$14.79 B,$13.26 B,$10.53 B,$9.36 B,$8.45 B,$7.42 B,$7.00 B,$6.76 B,$6.72 B,$6.66 B,$5.78 B,$5.19 B,$4.86 B,$4.41 B,$4.64 B,$5.15 B,$1.86 B,$1.42 B,$1.10 B,$0.67 B,$0.61 B
chevron,,$N/A,$139.06 B,$131.68 B,$144.21 B,$219.40 B,$148.12 B,$145.55 B,$152.71 B,$155.02 B,$149.11 B,$N/A,$122.18 B,$105.81 B,$92.56 B,$87.11 B,$77.29 B,$69.14 B,$62.87 B,$45.40 B,$36.56 B,$31.90 B,$34.24 B
costco,$25.05 B,$20.64 B,$18.07 B,$18.70 B,$15.58 B,$13.10 B,$11.07 B,$12.33 B,$10.84 B,$12.51 B,$11.01 B,$12.51 B,$12.57 B,$10.93 B,$10.01 B,$9.27 B,$8.69 B,$9.20 B,$8.93 B,$7.68 B,$6.68 B,$5.81 B,$4.99 B
abbvie,,$17.28 B,$15.43 B,$13.09 B,$-8.18 B,$-8.45 B,$5.09 B,$4.63 B,$3.94 B,$1.74 B,$4.49 B,$3.36 B,$12.22 B,$15.70 B,,,,,,,,,
merck,,$46.05 B,$38.25 B,$25.40 B,$26.00 B,$26.88 B,$34.56 B,$40.30 B,$44.76 B,$48.79 B,$52.32 B,$55.46 B,$56.94 B,$56.80 B,$61.49 B,$21.16 B,$20.59 B,$19.96 B,$20.32 B,$19.69 B,$19.49 B,$23.12 B,$20.88 B
l-oreal,,$29.11 B,$26.71 B,$35.66 B,$32.96 B,$30.81 B,$29.79 B,$25.79 B,$25.82 B,$24.55 B,$31.26 B,$27.69 B,$22.85 B,$19.77 B,$19.48 B,$16.53 B,$19.88 B,$19.33 B,$17.32 B,$14.32 B,$10.24 B,$8.00 B,$7.77 B
coca-cola,,$25.82 B,$24.86 B,$21.28 B,$21.09 B,$19.05 B,$18.97 B,$23.22 B,$25.76 B,$30.56 B,$33.44 B,$33.16 B,$31.92 B,$31.31 B,$25.34 B,$20.47 B,$21.74 B,$16.92 B,$16.35 B,$15.93 B,$14.09 B,$11.80 B,$11.36 B
toyota,$219.69 B,$222.54 B,$220.19 B,$191.95 B,$180.79 B,$182.76 B,$162.67 B,$156.70 B,$147.04 B,$147.91 B,$135.47 B,$133.54 B,$131.32 B,$116.87 B,$107.11 B,$124.84 B,$105.63 B,$94.87 B,$89.00 B,$81.64 B,$61.84 B,$56.53 B,$58.37 B
bank-of-america,,$273.19 B,$270.06 B,$272.92 B,$264.81 B,$265.32 B,$267.14 B,$266.84 B,$256.20 B,$243.47 B,$232.68 B,$236.95 B,$230.10 B,$228.24 B,$231.44 B,$177.05 B,$146.80 B,$135.27 B,$101.53 B,$99.64 B,$47.98 B,$50.31 B,$48.52 B
salesforce,$58.35 B,$58.13 B,$41.49 B,$33.88 B,$15.60 B,$9.39 B,$7.50 B,$5.00 B,$3.97 B,$3.06 B,$2.37 B,$1.58 B,$1.27 B,$1.05 B,$0.68 B,$0.46 B,$0.28 B,$0.19 B,$0.14 B,$-45.47 M,$-55.47 M,$9.78 M,$-29.33 M
roche,,$34.65 B,$31.02 B,$45.11 B,$37.02 B,$30.87 B,$29.78 B,$25.91 B,$23.58 B,$21.80 B,$23.94 B,$18.33 B,$15.43 B,$12.47 B,$9.10 B,$51.60 B,$47.09 B,$38.47 B,$31.72 B,$29.19 B,$23.58 B,$29.29 B,$38.49 B
pepsico,,$17.27 B,$16.15 B,$13.55 B,$14.86 B,$14.60 B,$10.98 B,$11.19 B,$12.03 B,$17.54 B,$24.38 B,$22.39 B,$20.89 B,$21.47 B,$17.44 B,$12.24 B,$17.32 B,$15.44 B,$14.32 B,$13.57 B,$11.89 B,$9.29 B,$8.64 B
hermes-international,,$13.34 B,$10.66 B,$9.09 B,$7.36 B,$6.30 B,$6.05 B,$4.61 B,$4.09 B,$4.20 B,$3.92 B,$3.11 B,$3.01 B,$2.87 B,$2.58 B,$2.24 B,$2.15 B,$1.88 B,$1.66 B,$1.76 B,$1.48 B,$1.13 B,$0.99 B
icbc,,$509.47 B,$513.99 B,$446.09 B,$385.35 B,$340.96 B,$329.10 B,$285.31 B,$277.80 B,$248.27 B,$211.25 B,$180.99 B,$152.39 B,$124.26 B,$99.39 B,$89.11 B,$74.61 B,$60.39 B,$32.34 B,$-61.03 B,$-64.78 B,$21.98 B,
accenture,$26.45 B,$22.74 B,$20.09 B,$17.49 B,$14.82 B,$10.72 B,$9.71 B,$8.18 B,$6.64 B,$6.28 B,$5.42 B,$4.62 B,$4.35 B,$3.27 B,$3.47 B,$3.19 B,$2.80 B,$2.76 B,$2.67 B,$2.41 B,$1.67 B,$0.95 B,$0.69 B
shell,,$192.59 B,$175.32 B,$158.53 B,$190.46 B,$202.53 B,$197.81 B,$188.51 B,$164.12 B,$172.96 B,$181.14 B,$189.92 B,$171.00 B,$149.78 B,$138.13 B,$128.86 B,$125.96 B,$114.94 B,$97.92 B,$91.38 B,$79.70 B,$67.60 B,$63.11 B
mcdonald,,$-6.01 B,$-4.61 B,$-7.83 B,$-8.22 B,$-6.26 B,$-3.27 B,$-2.21 B,$7.08 B,$12.85 B,$16.00 B,$15.29 B,$14.39 B,$14.63 B,$14.03 B,$13.38 B,$15.27 B,$15.45 B,$15.14 B,$14.20 B,$11.98 B,$10.28 B,$9.48 B
amd,,$54.75 B,$7.49 B,$5.83 B,$2.82 B,$1.26 B,$0.61 B,$0.41 B,$-0.42 B,$0.18 B,$0.54 B,$0.53 B,$1.59 B,$1.01 B,$1.72 B,$87 M,$3.25 B,$6.07 B,$3.58 B,$3.85 B,$3.15 B,$2.46 B,$3.55 B
reliance-industries,$113.78 B,$117.23 B,$108.84 B,$61.18 B,$56.94 B,$45.62 B,$41.15 B,$37.20 B,$35.44 B,$33.36 B,$33.71 B,$33.46 B,$34.72 B,$31.60 B,$23.90 B,$22.46 B,$16.59 B,$11.56 B,$9.42 B,,,,
novartis,,$59.42 B,$67.82 B,$56.66 B,$55.55 B,$78.69 B,$74.22 B,$74.89 B,$77.12 B,$70.84 B,$74.47 B,$69.21 B,$65.94 B,$69.76 B,$57.46 B,$50.43 B,$49.39 B,$41.29 B,$33.16 B,$33.92 B,$30.51 B,$28.41 B,$25.55 B
netflix,,$20.77 B,$15.84 B,$11.06 B,$7.58 B,$5.23 B,$3.58 B,$2.67 B,$2.22 B,$1.85 B,$1.33 B,$0.74 B,$0.64 B,$0.29 B,$0.19 B,$0.34 B,$0.43 B,$0.41 B,$0.22 B,$0.15 B,$0.11 B,$89.35 M,$-90.51 M
astrazeneca,,$37.05 B,$39.28 B,$15.63 B,$14.59 B,$14.04 B,$16.64 B,$16.66 B,$18.50 B,$19.64 B,$23.25 B,$23.95 B,$23.47 B,$23.41 B,$20.82 B,$16.06 B,$14.91 B,$15.41 B,$13.69 B,$14.49 B,$13.25 B,$11.23 B,$13.76 B
cisco,$44.35 B,$39.77 B,$41.27 B,$37.92 B,$33.57 B,$43.20 B,$66.13 B,$63.58 B,$59.70 B,$56.66 B,$59.12 B,$51.30 B,$47.25 B,$44.28 B,$38.67 B,$34.40 B,$31.49 B,$23.91 B,$23.18 B,$25.91 B,$28.03 B,$28.67 B,$27.14 B
linde,,$41.38 B,$45.44 B,$49.58 B,$51.63 B,$57.09 B,$6.52 B,$5.45 B,$4.90 B,$6.18 B,$7.31 B,$6.67 B,$5.79 B,$6.14 B,$5.64 B,$4.31 B,$5.46 B,$4.77 B,$4.10 B,$3.83 B,$3.28 B,$2.50 B,$2.61 B
thermo-fisher-scientific,,$44.14 B,$0.12 B,$34.50 B,$29.67 B,$27.58 B,$25.41 B,$21.53 B,$21.39 B,$20.54 B,$16.85 B,$15.46 B,$15.03 B,$15.36 B,$15.43 B,$14.92 B,$14.48 B,$13.91 B,$2.79 B,$2.66 B,$2.38 B,$2.03 B,$1.91 B
sap,,$45.89 B,$47.02 B,$36.80 B,$34.54 B,$33.03 B,$30.66 B,$27.77 B,$25.47 B,$23.83 B,$22.16 B,$18.74 B,$16.46 B,$13.00 B,$12.31 B,$10.11 B,$9.51 B,$8.12 B,$6.83 B,$6.25 B,$4.73 B,$3.15 B,$3.41 B
alibaba,$163.44 B,$170.52 B,$164.91 B,$123.90 B,$91.69 B,$69.94 B,$47.04 B,$38.71 B,$25.40 B,$6.56 B,$1.76 B,$5.46 B,$1.19 B,$0.87 B,$0.73 B,$0.72 B,$0.49 B,$18.64 M,,,,,
pinduoduo,,$17.07 B,$11.78 B,$9.22 B,$3.52 B,$2.73 B,$0.18 B,$51.33 M,,,,,,,,,,,,,,,
abbott-laboratories,,$36.90 B,$36.02 B,$33.00 B,$31.30 B,$30.72 B,$31.09 B,$20.71 B,$21.32 B,$21.63 B,$25.26 B,$26.81 B,$24.52 B,$22.47 B,$22.89 B,$17.47 B,$17.77 B,$14.05 B,$14.41 B,$14.32 B,$13.07 B,$10.66 B,$9.05 B
t-mobile-us,,$69.65 B,$69.10 B,$65.34 B,$28.78 B,$24.71 B,$22.55 B,$18.23 B,$16.55 B,$15.66 B,$14.24 B,$3.35 B,$2.92 B,$2.54 B,$2.29 B,$2.04 B,$1.85 B,$0.41 B,$0.36 B,,$71.33 M,$69.39 M,$-51.48 M
intel,,$103.28 B,$95.39 B,$81.03 B,$77.50 B,$74.56 B,$69.01 B,$66.22 B,$61.08 B,$55.86 B,$58.25 B,$51.20 B,$45.91 B,$49.63 B,$41.70 B,$39.08 B,$42.76 B,$36.75 B,$36.18 B,$38.57 B,$37.84 B,$35.46 B,$35.83 B
nike,$14.00 B,$15.28 B,$12.76 B,$8.05 B,$9.04 B,$9.81 B,$12.40 B,$12.25 B,$12.70 B,$10.82 B,$11.15 B,$10.38 B,$9.84 B,$9.75 B,$8.69 B,$7.82 B,$7.02 B,$6.28 B,$5.64 B,$4.78 B,$3.99 B,$3.83 B,$3.49 B
china-mobile,,$183.57 B,$189.93 B,$176.74 B,$158.50 B,$153.52 B,$152.00 B,$141.44 B,$142.00 B,$138.66 B,$130.65 B,$116.33 B,$103.48 B,$87.32 B,$74.31 B,$65.00 B,$51.30 B,$40.91 B,$33.84 B,$28.23 B,$24.07 B,$20.82 B,$13.50 B
agricultural-bank-of-china,,$387.77 B,$379.99 B,$338.95 B,$280.53 B,$243.52 B,$219.71 B,$190.32 B,$186.98 B,$166.76 B,$139.55 B,$120.50 B,$103.38 B,$82.00 B,$50.20 B,$42.64 B,$-99.76 B,$10.76 B,$9.86 B,$9.44 B,,,
walt-disney,$113.01 B,$108.37 B,$102.22 B,$97.51 B,$102.85 B,$53.95 B,$46.15 B,$47.32 B,$48.65 B,$48.17 B,$48.15 B,$41.95 B,$39.45 B,$39.34 B,$35.42 B,$33.66 B,$32.04 B,$33.16 B,$27.45 B,$26.87 B,$24.21 B,$23.87 B,$23.05 B
petro-china,,$222.97 B,$221.09 B,$209.53 B,$206.75 B,$205.12 B,$212.32 B,$197.69 B,$207.37 B,$212.81 B,$209.84 B,$189.38 B,$172.24 B,$152.76 B,$132.88 B,$124.33 B,$106.44 B,$78.96 B,$67.40 B,$52.57 B,$43.81 B,$38.83 B,$35.41 B
comcast,,$82.03 B,$98.00 B,$93.01 B,$85.24 B,$73.81 B,$70.80 B,$57.62 B,$55.19 B,$54.13 B,$52.01 B,$66.79 B,$63.66 B,$44.43 B,$42.81 B,$40.74 B,$41.59 B,$41.40 B,$40.87 B,$41.89 B,$41.95 B,$41.00 B,$15.35 B
wells-fargo,,$181.87 B,$190.11 B,$185.92 B,$187.98 B,$197.06 B,$208.07 B,$200.49 B,$194.02 B,$185.26 B,$171.00 B,$158.91 B,$141.68 B,$127.88 B,$114.35 B,$99.06 B,$47.62 B,$45.87 B,$40.66 B,$37.86 B,$34.46 B,$30.35 B,$27.21 B
